transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
5051d8e2,2026-03-04,AEP,BUY,5,133.14,665.7,123.82,159.77,SIGNAL,SIDEWAYS,74.1,"{""momentum"": 79.6, ""volatility"": 78.6, ""volume"": 43.2, ""relative_strength"": 77.0, ""mean_reversion"": 81.2, ""rsi"": 75.0, ""composite"": 74.1}",
5991975c,2026-03-04,AWK,BUY,4,136.46,545.82,126.9,163.75,SIGNAL,SIDEWAYS,70.3,"{""momentum"": 71.9, ""volatility"": 72.7, ""volume"": 41.1, ""relative_strength"": 73.4, ""mean_reversion"": 80.0, ""rsi"": 75.0, ""composite"": 70.3}",
5c23a5b4,2026-03-04,ROST,BUY,3,211.49,634.47,196.69,253.79,SIGNAL,SIDEWAYS,72.5,"{""momentum"": 87.7, ""volatility"": 72.1, ""volume"": 72.4, ""relative_strength"": 79.7, ""mean_reversion"": 63.6, ""rsi"": 55.0, ""composite"": 72.5}",
8acd7bf9,2026-03-04,CMS,BUY,7,78.32,548.24,72.84,93.98,SIGNAL,SIDEWAYS,70.2,"{""momentum"": 74.8, ""volatility"": 82.1, ""volume"": 40.3, ""relative_strength"": 72.2, ""mean_reversion"": 84.0, ""rsi"": 55.0, ""composite"": 70.2}",
00faca6e,2026-03-04,CRGY,BUY,50,11.33,566.5,10.54,13.6,SIGNAL,SIDEWAYS,71.0,"{""momentum"": 85.1, ""volatility"": 33.6, ""volume"": 95.7, ""relative_strength"": 81.5, ""mean_reversion"": 57.7, ""rsi"": 90.0, ""composite"": 71.0}",
a69a4289,2026-03-04,DTE,BUY,4,149.69,598.74,139.21,179.62,SIGNAL,SIDEWAYS,67.3,"{""momentum"": 79.0, ""volatility"": 81.3, ""volume"": 41.3, ""relative_strength"": 73.2, ""mean_reversion"": 79.1, ""rsi"": 35.0, ""composite"": 67.3}",
992563eb,2026-03-04,DTM,BUY,4,141.99,567.94,132.05,170.38,SIGNAL,SIDEWAYS,67.3,"{""momentum"": 82.6, ""volatility"": 78.7, ""volume"": 38.2, ""relative_strength"": 77.3, ""mean_reversion"": 75.9, ""rsi"": 35.0, ""composite"": 67.3}",
5cd9e148,2026-03-04,COP,BUY,10,115.31,1153.1,98.01,138.37,SIGNAL,BULL,75.4,"{""momentum"": 82.6, ""volatility"": 58.2, ""volume"": 65.5, ""relative_strength"": 69.5, ""mean_reversion"": 77.0, ""rsi"": 90.0, ""composite"": 75.4}",
752d8c44,2026-03-05,CF,BUY,6,110.76,664.56,94.15,132.91,SIGNAL,SIDEWAYS,68.5,"{""momentum"": 100, ""volatility"": 56.9, ""volume"": 81.0, ""relative_strength"": 100, ""mean_reversion"": 33.4, ""rsi"": 35.0, ""composite"": 68.5}",
738dce31,2026-03-05,VLO,BUY,2,227.98,455.96,193.78,273.58,SIGNAL,SIDEWAYS,63.6,"{""momentum"": 97.5, ""volatility"": 53.7, ""volume"": 80.6, ""relative_strength"": 93.1, ""mean_reversion"": 42.1, ""rsi"": 10.0, ""composite"": 63.6}",
5d5285e6,2026-03-05,DAWN,BUY,1,12.78,12.78,10.86,15.34,SIGNAL,SIDEWAYS,62.6,"{""momentum"": 100, ""volatility"": 0, ""volume"": 76.4, ""relative_strength"": 100, ""mean_reversion"": 41.4, ""rsi"": 75.0, ""composite"": 62.6}",
