transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank,trade_rationale
32c55c14,2026-03-10,TEN,BUY,6044,37.97,229490.68,31.77,47.65,SIGNAL,SIDEWAYS,0.0,{},,
9a30f837,2026-03-10,HLIO,BUY,2505,68.17,170765.85,57.87,84.81,SIGNAL,SIDEWAYS,0.0,{},,
3d50c82a,2026-03-10,SCZM,BUY,8047,10.91,87833.0,9.44,13.92,SIGNAL,SIDEWAYS,0.0,{},,
fb491a1e,2026-03-10,PANL,BUY,8028,8.52,68398.56,7.17,10.96,SIGNAL,SIDEWAYS,0.0,{},,
ebfc8dce,2026-03-10,MRTN,BUY,6500,12.71,82615.0,10.8,16.0,SIGNAL,SIDEWAYS,0.0,{},,
4fd59017,2026-03-12,TEN,SELL,6044,34.81,210391.65,,,STOP_LOSS,,,,,
21f0e423,2026-03-12,SCZM,SELL,8047,9.86,79343.42,,,STOP_LOSS,,,,,
34b76798,2026-03-12,PANL,SELL,8028,7.03,56476.98,,,STOP_LOSS,,,,,
fc874e39,2026-03-12,MRTN,SELL,6500,11.46,74490.0,,,STOP_LOSS,,,,,
ea76f660,2026-03-12,VRT,BUY,238,265.38,63160.44,233.53,344.99,SIGNAL,SIDEWAYS,0.0,{},,
07890441,2026-03-12,EME,BUY,195,710.53,138553.35,625.27,923.69,SIGNAL,SIDEWAYS,0.0,{},,
637de748,2026-03-12,PWR,BUY,157,566.91,89004.87,498.88,736.98,SIGNAL,SIDEWAYS,0.0,{},,
146d6a78,2026-03-12,ENTG,BUY,729,109.98,80175.42,96.78,142.97,SIGNAL,SIDEWAYS,0.0,{},,
f504450a,2026-03-12,CIEN,BUY,282,336.83,94986.06,296.41,437.88,SIGNAL,SIDEWAYS,0.0,{},,
611d48e5,2026-03-17,HLIO,SELL,2505,64.81,162361.57,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Helios Technologies is a hydraulic/motion control company. While industrial, its primary end markets are mobile equipment, agriculture, and industrial machinery \u2014 not data center infrastructure, power generation, cooling, or electrical components. It has no meaningful exposure to hyperscaler capex or data center demand. At -4.9% P&L and approaching its stop, this position is misaligned with the strategy DNA of targeting the physical infrastructure layer feeding AI/data center buildout. Selling t"", ""quant_reason"": ""Helios Technologies is a hydraulic/motion control company. While industrial, its primary end markets are mobile equipment, agriculture, and industrial machinery \u2014 not data center infrastructure, power generation, cooling, or electrical components. It has no meaningful exposure to hyperscaler capex or data center demand. At -4.9% P&L and approaching its stop, this position is misaligned with the strategy DNA of targeting the physical infrastructure layer feeding AI/data center buildout. Selling to redeploy capital into names with direct data center exposure."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
