ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct
VZ,1227,48.89,50.14,61521.78,1533.75,2.56,44.98,58.67,2026-02-26,1533.75,2.56
EQIX,63,948.02,974.26,61378.38,1653.12,2.77,872.18,1137.62,2026-02-26,1653.12,2.77
MSI,127,471.95,482.26,61247.02,1309.37,2.18,434.19,566.34,2026-02-26,1309.37,2.18
TER,180,332.7,320.03,57605.4,-2280.6,-3.81,306.08,399.24,2026-02-26,-2280.6,-3.81
O,600,66.6,67.0,40200.0,240.0,0.6,61.27,79.92,2026-02-26,402.0,1.01
PLD,280,142.66,142.57,39919.6,-25.2,-0.06,131.25,171.19,2026-02-26,-25.2,-0.06
LHX,167,359.33,364.54,60878.18,870.07,1.45,330.58,431.2,2026-02-27,1566.46,2.64
LYV,373,160.55,162.14,60478.22,593.07,0.99,147.71,192.66,2026-02-27,1577.79,2.68
SPG,25,202.66,203.85,5096.25,29.75,0.59,186.45,243.19,2026-02-27,31.25,0.62
UDR,100,37.82,37.5,3750.0,-32.0,-0.85,34.79,45.38,2026-02-27,-59.0,-1.55
VTR,50,87.53,86.16,4308.0,-68.5,-1.57,80.53,105.04,2026-02-27,-14.0,-0.32
