transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
84f58001,2026-02-26,VZ,BUY,1227,48.89,59988.03,44.98,58.67,SIGNAL,BULL,81.3,"{""momentum"": 89.6, ""volatility"": 61.8, ""volume"": 30.4, ""relative_strength"": 100, ""mean_reversion"": 85.4, ""rsi"": 90.0, ""composite"": 81.3}",
d92f848d,2026-02-26,EQIX,BUY,63,948.02,59725.26,872.18,1137.62,SIGNAL,BULL,75.7,"{""momentum"": 90.6, ""volatility"": 61.8, ""volume"": 44.2, ""relative_strength"": 86.4, ""mean_reversion"": 63.1, ""rsi"": 75.0, ""composite"": 75.7}",
bf106256,2026-02-26,O,BUY,900,66.6,59940.0,61.27,79.92,SIGNAL,BULL,73.5,"{""momentum"": 80.7, ""volatility"": 80.1, ""volume"": 44.0, ""relative_strength"": 73.0, ""mean_reversion"": 81.2, ""rsi"": 75.0, ""composite"": 73.5}",
6fb3f72d,2026-02-26,TER,BUY,180,332.7,59886.0,306.08,399.24,SIGNAL,BULL,74.6,"{""momentum"": 96.2, ""volatility"": 30.8, ""volume"": 37.3, ""relative_strength"": 100, ""mean_reversion"": 46.5, ""rsi"": 75.0, ""composite"": 74.6}",
e14d2bd1,2026-02-26,MSI,BUY,95,471.95,44835.25,434.19,566.34,SIGNAL,BULL,71.6,"{""momentum"": 92.3, ""volatility"": 72.7, ""volume"": 44.9, ""relative_strength"": 90.5, ""mean_reversion"": 61.1, ""rsi"": 35.0, ""composite"": 71.6}",
8c64dd91,2026-02-26,WBD,BUY,750,28.8,21600.0,26.5,34.56,SIGNAL,BULL,69.7,"{""momentum"": 75.5, ""volatility"": 65.2, ""volume"": 42.1, ""relative_strength"": 58.7, ""mean_reversion"": 86.3, ""rsi"": 90.0, ""composite"": 69.7}",
53694447,2026-02-28,LHX,BUY,167,359.33,60008.11,330.58,431.2,SIGNAL,BULL,70.1,"{""momentum"": 76.6, ""volatility"": 63.3, ""volume"": 43.9, ""relative_strength"": 59.9, ""mean_reversion"": 84.1, ""rsi"": 90.0, ""composite"": 70.1}",
c12cf5fb,2026-02-28,LYV,BUY,375,160.55,60206.25,147.71,192.66,SIGNAL,BULL,73.7,"{""momentum"": 83.7, ""volatility"": 61.4, ""volume"": 40.8, ""relative_strength"": 73.8, ""mean_reversion"": 71.4, ""rsi"": 90.0, ""composite"": 73.7}",
3315639e,2026-02-28,PLD,BUY,250,142.74,35685.0,131.32,171.29,SIGNAL,BULL,71.2,"{""momentum"": 76.1, ""volatility"": 76.2, ""volume"": 41.8, ""relative_strength"": 71.2, ""mean_reversion"": 83.1, ""rsi"": 75.0, ""composite"": 71.2}",
1269823b,2026-02-28,WELL,BUY,181,209.12,37850.72,192.39,250.94,SIGNAL,BULL,69.4,"{""momentum"": 71.8, ""volatility"": 72.8, ""volume"": 30.8, ""relative_strength"": 76.4, ""mean_reversion"": 81.5, ""rsi"": 75.0, ""composite"": 69.4}",
81fca543,2026-03-01,WBD,SELL,750,28.17,21127.5,,,MANUAL,,,,
5d8a9326,2026-03-01,DE,BUY,25,629.71,15742.75,579.33,755.65,SIGNAL,BULL,79.6,"{""momentum"": 87.8, ""volatility"": 54.5, ""volume"": 41.7, ""relative_strength"": 96.4, ""mean_reversion"": 75.1, ""rsi"": 90.0, ""composite"": 79.6}",
59528350,2026-03-01,CMCSA,BUY,5,30.96,154.8,28.48,37.15,SIGNAL,BULL,65.8,"{""momentum"": 69.0, ""volatility"": 67.7, ""volume"": 44.2, ""relative_strength"": 58.4, ""mean_reversion"": 96.7, ""rsi"": 70.0, ""composite"": 65.8}",
d5ba3a94,2026-03-01,CHTR,BUY,15,234.63,3519.45,215.86,281.56,SIGNAL,BULL,76.2,"{""momentum"": 87.9, ""volatility"": 51.7, ""volume"": 31.9, ""relative_strength"": 82.8, ""mean_reversion"": 90.2, ""rsi"": 90.0, ""composite"": 76.2}",
3644b98f,2026-03-03,TER,SELL,180,302.0,54360.0,,,STOP_LOSS,,,,
4d3bcb00,2026-03-06,DE,SELL,12,589.77,7077.24,,,INTELLIGENCE,,,,
7d5ef3dd,2026-03-06,HAFN,BUY,4424,7.46,33003.04,6.86,8.95,SIGNAL,SIDEWAYS,80.0,"{""momentum"": 89.3, ""volatility"": 60.9, ""volume"": 89.8, ""relative_strength"": 100, ""mean_reversion"": 64.7, ""rsi"": 75.0, ""composite"": 80.0}",
d6e659ee,2026-03-09,PLD,SELL,250,132.5,33125.0,,,STOP_LOSS,,,,
d99195e7,2026-03-09,CHTR,SELL,7,226.76,1587.35,,,INTELLIGENCE,,,,
