ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
GILD,541,147.74,144.4,78120.4,-1806.94,-2.26,138.88,177.29,2026-03-03,-400.34,-0.51,145.14,
NTNX,1267,39.44,40.53,51345.18,1374.7,2.75,37.07,47.33,2026-03-03,171.05,0.33,40.53,
INTU,60,430.85,468.24,28094.4,2243.4,8.68,405.0,517.02,2026-03-03,87.0,0.31,470.4,
NET,215,174.71,193.49,41600.35,4037.7,10.75,164.23,209.65,2026-03-03,253.7,0.61,193.52,
MOS,1052,26.78,26.18,27546.62,-625.94,-2.22,25.17,32.14,2026-03-03,-99.94,-0.36,26.28,
CATY,500,50.2,47.87,23932.5,-1167.5,-4.65,47.19,60.24,2026-03-03,-837.5,-3.38,49.54,
CRGY,5945,11.385,11.93,70923.85,3240.03,4.79,10.7,13.66,2026-03-04,1307.9,1.88,11.94,
BMRN,467,60.25,60.17,28099.39,-37.36,-0.13,56.63,72.3,2026-03-04,-186.8,-0.66,60.57,
CE,541,52.07,50.97,27574.77,-595.1,-2.11,48.95,62.48,2026-03-04,-854.78,-3.01,52.55,
MAR,178,337.67,324.61,57780.58,-2324.68,-3.87,317.41,405.2,2026-03-04,-1500.54,-2.53,333.04,
PCAR,302,124.23,121.03,36551.06,-966.4,-2.58,116.78,149.08,2026-03-04,-697.62,-1.87,123.34,
DAWN,1200,11.66,21.16,25392.0,11400.0,81.48,10.96,13.99,2026-03-04,10056.0,65.57,21.17,
MMM,150,161.45,153.46,23019.0,-1198.5,-4.95,151.76,193.74,2026-03-04,-412.5,-1.76,156.21,
NUE,150,177.01,168.45,25266.75,-1284.75,-4.84,166.39,212.41,2026-03-04,-548.25,-2.12,172.1,
DOV,173,215.64,208.95,36148.35,-1157.37,-3.1,202.7,258.77,2026-03-05,-1146.99,-3.08,215.58,
TMO,72,518.89,507.24,36521.06,-839.02,-2.25,487.76,622.67,2026-03-05,-835.42,-2.24,518.84,
MU,150,397.05,389.2,58380.0,-1177.5,-1.98,373.23,476.46,2026-03-05,-1177.5,-1.98,397.05,
SJM,236,109.33,109.16,25761.76,-40.12,-0.16,102.77,131.2,2026-03-06,-40.12,-0.16,109.33,Consumer Defensive
