date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-23,10000.0,0.0,10000.0,0.0,0.0,2494.23
2026-03-24,1031.22,8968.78,10000.0,0.0,0.0,2505.44
2026-03-25,21.99,10498.6,10520.59,520.59,5.21,2536.38
2026-03-26,21.99,10929.56,10951.55,430.96,4.1,2493.32
2026-03-27,24.2,10410.77,10434.97,-516.58,-4.72,356.77
2026-03-28,24.2,10410.77,10434.97,-0.0,-0.0,16.76
2026-03-29,24.2,10410.77,10434.97,-0.0,-0.0,343.0
2026-03-30,6296.75,3877.27,10174.02,-260.95,-2.5,2414.01
2026-03-31,6296.75,3672.19,9968.94,-205.08,-2.02,2496.35
2026-04-01,6296.75,3452.44,9749.19,-219.75,-2.2,2512.37
2026-04-02,105.94,10007.87,10113.81,364.62,3.74,2530.04
2026-04-03,105.94,9977.31,10083.25,-30.56,-0.3,13.44
2026-04-06,105.94,10356.43,10462.37,379.12,3.76,8.47
2026-04-07,105.94,10351.22,10457.16,-5.21,-0.05,30.63
