ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
CMU,8264,3.63,3.64,30080.96,82.64,0.28,3.38,4.36,2026-03-09,Financial Services,3.64,82.64,0.28
ARLP,1098,27.29,27.62,30326.76,362.34,1.21,25.38,32.75,2026-03-09,Energy,27.62,417.24,1.4
CVX,156,190.63,189.44,29552.64,-185.64,-0.62,177.29,228.76,2026-03-09,Energy,190.67,-185.64,-0.62
EB,6651,4.51,4.51,29996.01,0.0,0.0,4.19,5.41,2026-03-09,Communication Services,4.51,0.0,0.0
SU,519,57.69,57.4,29790.6,-150.51,-0.5,53.65,69.23,2026-03-09,Energy,57.72,-150.51,-0.5
SUN,473,63.37,63.29,29936.17,-37.84,-0.13,58.93,76.04,2026-03-09,Energy,63.37,-37.84,-0.13
WTRG,186,40.82,40.85,7598.1,5.58,0.07,37.96,48.98,2026-03-09,Utilities,40.85,5.58,0.07
AWK,150,138.32,137.73,20659.5,-88.5,-0.43,128.64,165.98,2026-03-09,Utilities,138.32,-88.5,-0.43
CNP,450,43.4,43.48,19566.0,36.0,0.18,40.36,52.08,2026-03-09,Utilities,43.48,36.0,0.18
PDYN,2155,7.82,7.82,16852.1,0.0,0.0,7.27,9.38,2026-03-09,Technology,7.82,0.0,0.0
ATO,100,185.24,185.24,18524.0,0.0,0.0,172.27,222.29,2026-03-09,Utilities,185.24,0.0,0.0
DTM,150,140.05,140.05,21007.5,0.0,0.0,130.25,168.06,2026-03-09,Energy,140.05,0.0,0.0
FE,400,50.96,50.62,20246.0,-138.0,-0.68,47.39,61.15,2026-03-09,Utilities,50.96,-138.0,-0.68
NFG,90,92.89,92.89,8360.1,-0.0,-0.0,86.39,111.47,2026-03-09,Energy,92.89,-0.0,-0.0
