transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
12c7a6a1,2026-03-09,CMU,BUY,8264,3.63,29998.32,3.38,4.36,SIGNAL,SIDEWAYS,73.8,"{""price_momentum"": 66.8, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 100, ""volatility"": 89.2, ""value_timing"": 92.5, ""composite"": 73.8}",
c22e8655,2026-03-09,ARLP,BUY,1098,27.29,29964.42,25.38,32.75,SIGNAL,SIDEWAYS,65.6,"{""price_momentum"": 86.1, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 43.2, ""volatility"": 73.7, ""value_timing"": 77.2, ""composite"": 65.6}",
0a121f79,2026-03-09,CVX,BUY,156,190.63,29738.28,177.29,228.76,SIGNAL,SIDEWAYS,65.5,"{""price_momentum"": 78.1, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 55.4, ""volatility"": 70.9, ""value_timing"": 80.3, ""composite"": 65.5}",
fcacb408,2026-03-09,EB,BUY,6651,4.51,29996.01,4.19,5.41,SIGNAL,SIDEWAYS,68.3,"{""price_momentum"": 64.6, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 100, ""volatility"": 93.9, ""value_timing"": 63.0, ""composite"": 68.3}",
293037ef,2026-03-09,SU,BUY,519,57.69,29941.11,53.65,69.23,SIGNAL,SIDEWAYS,67.6,"{""price_momentum"": 80.2, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 73.1, ""volatility"": 71.6, ""value_timing"": 79.3, ""composite"": 67.6}",
7ce7f5dd,2026-03-09,SUN,BUY,473,63.37,29974.01,58.93,76.04,SIGNAL,SIDEWAYS,68.8,"{""price_momentum"": 83.3, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 52.3, ""volatility"": 76.2, ""value_timing"": 88.6, ""composite"": 68.8}",
3bddbcae,2026-03-09,WTRG,BUY,186,40.82,7592.52,37.96,48.98,SIGNAL,SIDEWAYS,64.1,"{""price_momentum"": 83.8, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 28.4, ""volatility"": 74.8, ""value_timing"": 78.0, ""composite"": 64.1}",
df9cd046,2026-03-09,AWK,BUY,150,138.32,20748.0,128.64,165.98,SIGNAL,SIDEWAYS,65.3,"{""price_momentum"": 87.0, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 43.3, ""volatility"": 72.1, ""value_timing"": 76.3, ""composite"": 65.3}",
7fdc8033,2026-03-09,CNP,BUY,450,43.4,19530.0,40.36,52.08,SIGNAL,SIDEWAYS,67.9,"{""price_momentum"": 81.7, ""earnings_growth"": 50.0, ""quality"": 50.0, ""volume"": 35.5, ""volatility"": 80.2, ""value_timing"": 90.2, ""composite"": 67.9}",
8059c949,2026-03-09,PDYN,BUY,2155,7.82,16852.1,7.27,9.38,SIGNAL,SIDEWAYS,67.6,"{""price_momentum"": 82.9, ""earnings_growth"": 80.0, ""quality"": 81.7, ""volume"": 100, ""volatility"": 0, ""value_timing"": 77.9, ""composite"": 67.6}",
517737f5,2026-03-09,ATO,BUY,100,185.24,18524.0,172.27,222.29,SIGNAL,SIDEWAYS,73.2,"{""price_momentum"": 76.5, ""earnings_growth"": 65.7, ""quality"": 70.0, ""volume"": 49.9, ""volatility"": 82.6, ""value_timing"": 81.9, ""composite"": 73.2}",
85ed40fb,2026-03-09,DTM,BUY,150,140.05,21007.5,130.25,168.06,SIGNAL,SIDEWAYS,74.8,"{""price_momentum"": 76.8, ""earnings_growth"": 80.0, ""quality"": 70.0, ""volume"": 37.1, ""volatility"": 78.5, ""value_timing"": 89.2, ""composite"": 74.8}",
6de1831f,2026-03-09,FE,BUY,400,50.96,20384.0,47.39,61.15,SIGNAL,SIDEWAYS,75.6,"{""price_momentum"": 81.0, ""earnings_growth"": 77.5, ""quality"": 65.0, ""volume"": 40.9, ""volatility"": 81.9, ""value_timing"": 90.4, ""composite"": 75.6}",
fd773696,2026-03-09,NFG,BUY,90,92.89,8360.1,86.39,111.47,SIGNAL,SIDEWAYS,72.9,"{""price_momentum"": 78.5, ""earnings_growth"": 75.7, ""quality"": 76.7, ""volume"": 53.6, ""volatility"": 78.2, ""value_timing"": 67.1, ""composite"": 72.9}",
