ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct
MPC,463,195.29,193.52,89599.76,-819.51,-0.91,181.62,244.11,2026-02-24,-819.5,-0.91
GM,650,81.29,82.73,53774.5,936.0,1.77,75.6,101.61,2026-02-24,936.0,1.77
HD,104,384.48,374.58,38956.32,-1029.6,-2.57,357.57,480.6,2026-02-24,-1029.6,-2.57
INTC,629,46.12,46.71,29377.45,367.97,1.27,42.89,57.65,2026-02-24,367.97,1.27
ETR,500,105.2,106.04,53020.0,420.0,0.8,97.84,131.5,2026-02-24,420.0,0.8
FANG,440,172.52,165.71,72912.4,-2996.4,-3.95,160.44,215.65,2026-02-24,-2996.4,-3.95
GE,219,345.64,343.51,75227.6,-467.56,-0.62,321.45,432.05,2026-02-24,-467.57,-0.62
NEE,600,95.68,95.2,57122.7,-285.3,-0.5,88.98,119.6,2026-02-24,-285.3,-0.5
EOG,646,123.7,122.34,79031.64,-878.56,-1.1,115.04,154.62,2026-02-24,-878.56,-1.1
EVRG,485,82.5,82.43,39978.55,-33.95,-0.08,76.72,103.12,2026-02-24,-33.95,-0.08
EMR,198,150.88,149.35,29572.29,-301.95,-1.01,140.32,188.6,2026-02-24,-301.95,-1.01
GS,22,902.27,919.1,20220.2,370.26,1.87,839.11,1127.84,2026-02-24,370.26,1.87
IDXX,38,649.23,661.77,25147.07,476.33,1.93,603.78,811.54,2026-02-24,476.33,1.93
MDLZ,815,61.13,60.17,49038.55,-782.4,-1.57,56.85,76.41,2026-02-24,-782.4,-1.57
ISRG,79,502.89,502.95,39733.05,4.74,0.01,467.69,628.61,2026-02-25,705.47,1.81
