transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
31644399,2026-02-24,EVRG,BUY,307,82.5,25327.5,181.62,244.11,SIGNAL,BULL,71.1,"{""momentum"": 68.5, ""volatility"": 58.4, ""volume"": 40.6, ""relative_strength"": 75.6, ""mean_reversion"": 91.5, ""rsi"": 90.0, ""composite"": 71.1}",
c98baff4,2026-02-24,MPC,BUY,463,195.29,90419.27,160.44,215.65,SIGNAL,BULL,71.3,"{""momentum"": 71.8, ""volatility"": 60.7, ""volume"": 65.6, ""relative_strength"": 61.0, ""mean_reversion"": 84.2, ""rsi"": 90.0, ""composite"": 71.3}",
270d59c5,2026-02-24,GM,BUY,650,81.29,52838.50000000001,42.89,57.65,SIGNAL,BULL,57.6,"{""momentum"": 77.0, ""volatility"": 3.6, ""volume"": 37.2, ""relative_strength"": 52.4, ""mean_reversion"": 89.4, ""rsi"": 70.0, ""composite"": 57.6}",
5d9d86f7,2026-02-24,HD,BUY,104,384.48,39985.92,357.57,480.6,SIGNAL,BULL,65.4,"{""momentum"": 63.1, ""volatility"": 73.7, ""volume"": 50.1, ""relative_strength"": 42.7, ""mean_reversion"": 97.2, ""rsi"": 90.0, ""composite"": 65.4}",
8b28c6fd,2026-02-24,INTC,BUY,629,46.12,29009.48,44.29,59.52,SIGNAL,BULL,60.3,"{""momentum"": 76.7, ""volatility"": 36.9, ""volume"": 33.6, ""relative_strength"": 41.1, ""mean_reversion"": 70.7, ""rsi"": 90.0, ""composite"": 60.3}",
28c6044b,2026-02-24,MDLZ,BUY,969,61.13,59234.97,76.72,103.12,SIGNAL,BULL,68.7,"{""momentum"": 70.3, ""volatility"": 79.1, ""volume"": 61.4, ""relative_strength"": 57.5, ""mean_reversion"": 76.9, ""rsi"": 75.0, ""composite"": 68.7}",
46564d17,2026-02-24,EOG,BUY,120,123.7,14844.0,321.45,432.05,SIGNAL,BULL,69.5,"{""momentum"": 90.2, ""volatility"": 58.4, ""volume"": 41.3, ""relative_strength"": 80.5, ""mean_reversion"": 55.2, ""rsi"": 55.0, ""composite"": 69.5}",
eb39a660,2026-02-24,ETR,BUY,500,105.2,52600.0,97.84,131.5,SIGNAL,BULL,64.9,"{""momentum"": 75.7, ""volatility"": 75.7, ""volume"": 39.7, ""relative_strength"": 64.1, ""mean_reversion"": 72.2, ""rsi"": 55.0, ""composite"": 64.9}",
35cee55d,2026-02-24,EOG,SELL,120,123.7,14844.0,,,STOP_LOSS,,,,
76c926d1,2026-02-24,EVRG,SELL,307,82.5,25327.5,,,STOP_LOSS,,,,
7a208ce9,2026-02-24,MDLZ,SELL,969,61.13,59234.97,,,STOP_LOSS,,,,
22c724ad,2026-02-24,FANG,BUY,440,172.52,75908.8,160.44,215.65,SIGNAL,BULL,73.9,"{""momentum"": 71.8, ""volatility"": 60.7, ""volume"": 65.6, ""relative_strength"": 72.4, ""mean_reversion"": 84.2, ""rsi"": 90.0, ""composite"": 73.9}",
3b04470d,2026-02-24,GE,BUY,219,345.64,75695.16,321.45,432.05,SIGNAL,BULL,72.1,"{""momentum"": 90.2, ""volatility"": 58.4, ""volume"": 41.3, ""relative_strength"": 91.8, ""mean_reversion"": 55.2, ""rsi"": 55.0, ""composite"": 72.1}",
5346989e,2026-02-24,NEE,BUY,600,95.68,57408.00000000001,88.98,119.6,SIGNAL,BULL,65.8,"{""momentum"": 78.6, ""volatility"": 75.5, ""volume"": 47.3, ""relative_strength"": 75.8, ""mean_reversion"": 71.2, ""rsi"": 35.0, ""composite"": 65.8}",
29c1a193,2026-02-24,EOG,BUY,646,123.7,79910.2,115.04,154.62,SIGNAL,BULL,72.5,"{""momentum"": 86.2, ""volatility"": 64.2, ""volume"": 50.7, ""relative_strength"": 86.1, ""mean_reversion"": 67.2, ""rsi"": 55.0, ""composite"": 72.5}",
ded942df,2026-02-24,EVRG,BUY,485,82.5,40012.5,76.72,103.12,SIGNAL,BULL,71.3,"{""momentum"": 70.3, ""volatility"": 79.1, ""volume"": 61.4, ""relative_strength"": 68.9, ""mean_reversion"": 76.9, ""rsi"": 75.0, ""composite"": 71.3}",
3a7cfa32,2026-02-24,EMR,BUY,198,150.88,29874.24,140.32,188.6,SIGNAL,BULL,65.5,"{""momentum"": 64.5, ""volatility"": 58.2, ""volume"": 32.0, ""relative_strength"": 57.8, ""mean_reversion"": 99.9, ""rsi"": 90.0, ""composite"": 65.5}",
7995a50b,2026-02-24,GS,BUY,22,902.27,19849.94,839.11,1127.84,SIGNAL,BULL,52.7,"{""momentum"": 48.0, ""volatility"": 62.8, ""volume"": 43.4, ""relative_strength"": 44.0, ""mean_reversion"": 88.0, ""rsi"": 55.0, ""composite"": 52.7}",
be0b4e14,2026-02-24,IDXX,BUY,38,649.23,24670.74,603.78,811.54,SIGNAL,BULL,51.9,"{""momentum"": 27.3, ""volatility"": 67.7, ""volume"": 41.2, ""relative_strength"": 35.0, ""mean_reversion"": 97.3, ""rsi"": 90.0, ""composite"": 51.9}",
05ed717e,2026-02-24,MDLZ,BUY,815,61.13,49820.95,56.85,76.41,SIGNAL,BULL,68.1,"{""momentum"": 66.2, ""volatility"": 71.5, ""volume"": 39.0, ""relative_strength"": 60.3, ""mean_reversion"": 89.1, ""rsi"": 90.0, ""composite"": 68.1}",
6835804d,2026-02-25,ISRG,BUY,79,502.89,39728.31,467.69,628.61,SIGNAL,UNKNOWN,64.2,"{""momentum"": 31.5, ""volatility"": 70.0, ""volume"": 32.6, ""relative_strength"": 85.7, ""mean_reversion"": 91.4, ""rsi"": 90.0, ""composite"": 64.2}",
