date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-23,1000000.0,0.0,1000000.0,0.0,0.0,6581.0
2026-03-24,57104.99,942943.01,1000048.0,48.0,0.0,6556.37
2026-03-25,162.79,1022420.26,1022583.05,22535.05,2.25,6591.9
2026-03-26,991651.69,58300.34,1049952.03,27368.98,2.68,6477.16
2026-03-27,133133.11,926827.4,1059960.51,10008.48,0.95,356.77
2026-03-28,133133.11,926827.4,1059960.51,0.0,0.0,16.76
2026-03-29,133133.11,926827.4,1059960.51,0.0,0.0,3.38
2026-03-30,834162.45,199219.02,1033381.47,-26579.04,-2.51,6343.72
2026-03-31,111511.89,909005.82,1020517.71,-12863.76,-1.24,6528.52
2026-04-01,111511.89,887333.64,998845.53,-21672.18,-2.12,6575.32
2026-04-02,773464.48,255019.99,1028484.47,29638.94,2.97,6582.69
2026-04-03,773464.48,255019.99,1028484.47,0.0,0.0,41.75
2026-04-06,413783.82,620425.94,1034209.76,5725.29,0.56,6611.83
2026-04-07,413783.82,618097.34,1031881.16,-2328.6,-0.23,83.71
