ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
VISN,7213,17.986,18.7,134883.1,5150.08,3.97,12.79,25.1,2026-03-11,-1406.53,-1.04,18.79,
NATL,1202,43.305,43.84,52695.68,643.07,1.24,35.35,61.74,2026-03-25,78.13,0.15,43.9,
SAIC,1549,95.4135,99.3,153815.7,6020.19,4.07,76.68,127.79,2026-03-25,-1200.48,-0.77,102.11,
GD,200,353.69,351.13,70226.0,-512.0,-0.72,298.0,440.0,2026-03-25,161.0,0.23,353.69,
LMT,100,629.31,638.34,63834.0,903.0,1.43,540.0,780.0,2026-03-26,593.0,0.95,638.34,
DRS,3262,44.9782,46.73,152433.26,5714.37,3.89,36.78,60.81,2026-04-01,-195.72,-0.13,46.93,Industrials
ESE,334,298.15,292.15,97578.1,-2004.0,-2.01,252.23,391.57,2026-04-01,167.0,0.17,298.5,Technology
CW,99,710.92,695.97,68901.03,-1480.05,-2.1,600.93,929.18,2026-04-01,-114.35,-0.17,710.92,Industrials
ATI,354,153.0,147.66,52271.64,-1890.36,-3.49,128.43,197.59,2026-04-01,323.91,0.62,153.0,Industrials
BWXT,230,208.3,214.99,49447.7,1538.7,3.21,178.0,280.0,2026-04-02,55.2,0.11,217.38,Industrials
NOC,64,704.0,694.99,44479.05,-576.95,-1.28,622.68,883.8,2026-04-02,-254.08,-0.57,708.07,Industrials
PL,751,31.5799,35.1,26360.1,2643.6,11.15,24.44,47.88,2026-04-02,-983.81,-3.65,35.91,Industrials
BAH,250,80.51,83.04,20760.0,632.5,3.14,68.0,110.0,2026-04-02,130.0,0.63,84.34,Industrials
RDW,1503,9.03,9.78,14699.34,1127.25,8.31,6.78,14.47,2026-04-02,-75.15,-0.51,10.04,Industrials
RCAT,200,12.84,13.02,2604.0,36.0,1.4,9.0,19.5,2026-04-06,83.0,3.23,13.26,Unknown
RTX,50,197.92,198.36,9918.0,22.0,0.22,172.0,255.0,2026-04-06,-7.0,-0.07,198.36,Industrials
