transaction_id,buy_transaction_id,ticker,close_date,entry_price,exit_price,pnl,pnl_pct,exit_reason,holding_days,regime_at_entry,regime_at_exit,composite_score_at_entry,signal_rank_at_entry,summary,what_worked,what_failed,pattern_tags,recommendation
fd595160,2eeeb678,CRUS,2026-03-17,135.38,135.57,140.6,0.14,INTELLIGENCE,6,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: CRUS closed at +0.1%,"[""Trade was profitable: +0.1%""]",[],[],Continue current strategy - trade executed as planned
e9e2c101,b428f180,ST,2026-03-17,35.38,34.54,-2371.32,-2.37,INTELLIGENCE,6,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: ST closed at -2.4%,[],"[""Trade lost money: -2.4%""]",[],Document lessons and move on - losses are part of trading
9a98a6a4,8f5dce2a,SMTC,2026-03-19,85.82,79.0,-7945.3,-7.95,STOP_LOSS,8,SIDEWAYS,SIDEWAYS,0.0,,Stop loss: SMTC lost 7.9% in 8 days,[],"[""Trade lost money: -7.9%"", ""Stop loss triggered - thesis invalidated""]",[],Stop loss worked as intended - review if stop level was appropriate
90acb5e2,5965930f,UNF,2026-03-19,274.25,265.5,-1006.25,-3.19,INTELLIGENCE,2,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: UNF closed at -3.2%,[],"[""Trade lost money: -3.2%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
cfe3f90b,ae93cb8b,ENS,2026-03-19,162.23,168.0,3554.32,3.56,INTELLIGENCE,8,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: ENS closed at +3.6%,"[""Trade was profitable: +3.6%""]",[],[],Continue current strategy - trade executed as planned
c3617229,10edd110,AVPT,2026-03-19,10.5,10.45,-237.65,-0.48,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: AVPT closed at -0.5%,[],"[""Trade lost money: -0.5%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
791e95e3,df653463,CRUS,2026-03-19,138.0,136.7,-578.5,-0.94,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: CRUS closed at -0.9%,[],"[""Trade lost money: -0.9%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
69165457,d803d8de,AEIS,2026-03-25T08:21:53,314.84,364.49,15739.05,15.77,INTELLIGENCE,14,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: AEIS closed at +15.8%,"[""Trade was profitable: +15.8%""]",[],[],Continue current strategy - trade executed as planned
b10b3085,343c7f06,FORM,2026-03-25T08:21:53,91.82,109.0,18691.84,18.71,INTELLIGENCE,14,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: FORM closed at +18.7%,"[""Trade was profitable: +18.7%""]",[],[],Continue current strategy - trade executed as planned
aa845b7d,2a5df17d,ONTO,2026-03-25T08:25:00,211.0,224.94,4837.18,6.61,INTELLIGENCE,6,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: ONTO closed at +6.6%,"[""Trade was profitable: +6.6%""]",[],[],Continue current strategy - trade executed as planned
867f618b,e0cc8baa,STRL,2026-03-25T08:25:00,422.0,448.36,1818.84,6.25,INTELLIGENCE,8,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: STRL closed at +6.2%,"[""Trade was profitable: +6.2%""]",[],[],Continue current strategy - trade executed as planned
4ce5e1c5,5bd5e81b,KEX,2026-03-25T10:27:53,136.51,136.62,38.39,0.08,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: KEX closed at +0.1%,"[""Trade was profitable: +0.1%""]",[],[],Continue current strategy - trade executed as planned
0cb76e7b,9ff814aa,UNF,2026-03-25T10:27:53,263.54,260.72,-282.0,-1.07,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: UNF closed at -1.1%,[],"[""Trade lost money: -1.1%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
597d3cc2,9e6677a4,VICR,2026-03-26T13:46:17,188.69,161.62,-9663.99,-14.35,STOP_LOSS,1,SIDEWAYS,BEAR,0.0,,Stop loss: VICR lost 14.3% in 1 days,[],"[""Trade lost money: -14.3%"", ""Stop loss triggered - thesis invalidated"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to BEAR during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
ec027b40,aba73a05,AIR,2026-03-26T13:46:17,109.21,111.78,1028.0,2.35,STOP_LOSS,7,SIDEWAYS,BEAR,0.0,,Profitable exit: AIR closed at +2.4%,"[""Trade was profitable: +2.4%""]",[],"[""regime_change""]",Continue current strategy - trade executed as planned
ee52f99f,74d0f944,KEX,2026-03-26T21:16:19,135.7,139.29,718.0,2.65,INTELLIGENCE,1,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: KEX closed at +2.6%,"[""Trade was profitable: +2.6%""]",[],[],Continue current strategy - trade executed as planned
34f32016,6d856d80,MSM,2026-03-26T21:16:19,90.86,88.14,-680.0,-2.99,INTELLIGENCE,0,BEAR,SIDEWAYS,0.0,,Loss taken: MSM closed at -3.0%,[],"[""Trade lost money: -3.0%"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from BEAR to SIDEWAYS during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
2220c8c7,ad792164,LHX,2026-03-30T09:47:02,354.4,345.3,-3640.0,-2.57,INTELLIGENCE,4,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: LHX closed at -2.6%,[],"[""Trade lost money: -2.6%""]",[],Document lessons and move on - losses are part of trading
1bfc6fdf,518b5af2,PLTR,2026-03-30T09:47:02,155.31,142.54,-5720.96,-8.22,STOP_LOSS,4,SIDEWAYS,SIDEWAYS,0.0,,Stop loss: PLTR lost 8.2% in 4 days,[],"[""Trade lost money: -8.2%"", ""Stop loss triggered - thesis invalidated""]",[],Stop loss worked as intended - review if stop level was appropriate
f4327f03,8f2afaa0,BWXT,2026-03-30T09:47:02,208.59,197.53,-2212.0,-5.3,INTELLIGENCE,3,BEAR,SIDEWAYS,0.0,,Loss taken: BWXT closed at -5.3%,[],"[""Trade lost money: -5.3%"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from BEAR to SIDEWAYS during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
188d4af0,b4a3e374,ENS,2026-03-30T09:47:02,171.69,170.43,-250.74,-0.73,INTELLIGENCE,3,BEAR,SIDEWAYS,0.0,,Loss taken: ENS closed at -0.7%,[],"[""Trade lost money: -0.7%"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from BEAR to SIDEWAYS during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
4de07927,4494057c,ESE,2026-03-30T20:45:22,288.51,263.81,-11115.0,-8.56,STOP_LOSS,5,SIDEWAYS,SIDEWAYS,0.0,,Stop loss: ESE lost 8.6% in 5 days,[],"[""Trade lost money: -8.6%"", ""Stop loss triggered - thesis invalidated""]",[],Stop loss worked as intended - review if stop level was appropriate
c71e5d84,79d55b19,MOG-A,2026-03-30T20:45:22,305.65,283.82,-3820.25,-7.14,STOP_LOSS,5,SIDEWAYS,SIDEWAYS,0.0,,Stop loss: MOG-A lost 7.1% in 5 days,[],"[""Trade lost money: -7.1%"", ""Stop loss triggered - thesis invalidated""]",[],Stop loss worked as intended - review if stop level was appropriate
