ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
APA,49,30.37,32.68,1601.32,113.19,7.61,28.85,36.44,2026-03-01,14.7,0.93,32.83,
CRGY,128,11.66,11.76,1505.28,12.8,0.86,11.08,13.99,2026-03-01,6.4,0.43,11.9,
MPC,7,198.21,221.28,1548.96,161.49,11.64,188.3,237.85,2026-03-01,27.44,1.8,221.28,
MTDR,29,51.4,56.32,1633.28,142.68,9.57,48.83,61.68,2026-03-01,37.99,2.38,56.36,
AEP,8,133.82,131.87,1054.96,-15.6,-1.46,127.13,160.58,2026-03-01,-1.36,-0.13,132.3,
ETR,14,107.11,104.7,1465.8,-33.74,-2.25,101.75,128.53,2026-03-01,-10.92,-0.74,105.58,
SRE,15,96.27,92.63,1389.45,-54.6,-3.78,91.46,115.52,2026-03-01,-19.65,-1.39,93.94,
CEG,1,329.88,319.06,319.06,-10.82,-3.28,313.39,395.86,2026-03-01,-13.01,-3.92,332.07,
CF,9,110.76,115.78,1042.02,45.18,4.53,105.22,132.91,2026-03-05,45.0,4.51,119.32,
FE,12,50.18,50.84,610.08,7.92,1.32,47.67,60.22,2026-03-06,7.92,1.32,50.94,Utilities
