date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-02-25,259929.55,740070.45,1000000.0,0.0,0.0,6946.13
2026-02-26,29973.27,977656.94,1007630.21,7630.21,0.76,6908.86
2026-02-27,5255.14,1004171.13,1009426.27,1796.06,0.18,6846.07
2026-02-28,274.97,1014531.15,1014806.12,5379.85,0.53,6878.88
2026-03-01,-2291.73,1014588.73,1012297.0,-2509.12,-0.0,6878.88
2026-03-02,239.7,1017996.71,1018236.41,3430.29,0.34,6881.62
2026-03-03,33841.65,972048.56,1005890.21,-12346.2,-1.41,147.83
2026-03-04,283.85,1009989.95,1010273.8,6443.86,0.64,160.89
2026-03-05,13520.69,990517.76,1004038.45,-6235.35,-0.62,6830.71
2026-03-06,82129.94,917728.11,999858.05,-4180.4,-0.42,141.55
2026-03-08,82129.94,917736.89,999866.83,8.78,0.0,22.97
2026-03-09,228099.83,676688.11,904787.94,-95078.89,-9.51,7.82
2026-03-10,371343.24,434954.17,806297.41,-98490.53,-10.89,6781.48
2026-03-11,371343.24,435385.96,806729.2,431.79,0.05,6757.43
