ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct
SAIA,198,405.39,405.39,80267.22,0.0,0.0,377.01,486.47,2026-02-28,243.54,0.3
APA,2646,30.37,30.37,80359.02,0.0,0.0,28.24,36.44,2026-02-28,3360.42,4.36
CRGY,6893,11.66,11.66,80372.38,-0.0,-0.0,10.84,13.99,2026-02-28,5790.12,7.76
FTAI,262,305.8,305.8,80119.6,-0.0,-0.0,284.39,366.96,2026-02-28,-1110.89,-1.37
IIPR,1517,52.96,52.96,80340.32,-0.0,-0.0,49.25,63.55,2026-02-28,-2518.22,-3.04
SJM,693,115.95,115.95,80353.35,-0.0,-0.0,107.83,139.14,2026-02-28,-34.65,-0.04
DTM,578,138.84,138.84,80249.52,-0.0,-0.0,129.12,166.61,2026-02-28,115.6,0.14
ETR,750,107.11,107.11,80332.5,0.0,0.0,99.61,128.53,2026-02-28,1035.0,1.31
PKG,346,232.14,232.14,80320.44,-0.0,-0.0,215.89,278.57,2026-02-28,107.26,0.13
BKR,800,65.26,65.26,52208.0,0.0,0.0,60.69,78.31,2026-02-28,288.0,0.55
EOG,400,124.08,124.08,49632.0,0.0,0.0,115.39,148.9,2026-02-28,1180.0,2.44
AEP,100,133.82,133.82,13382.0,0.0,0.0,124.45,160.58,2026-02-28,172.0,1.3
MIDD,475,168.86,168.86,80208.5,0.0,0.0,157.04,202.63,2026-03-01,0.0,0.0
MTZ,269,298.02,298.02,80167.38,-0.0,-0.0,277.16,357.62,2026-03-01,-0.0,-0.0
