transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
80ecb372,2026-02-25,DE,BUY,128,623.61,79822.08,579.96,748.33,SIGNAL,BULL,82.1,"{""momentum"": 85.6, ""volatility"": 54.1, ""volume"": 71.0, ""relative_strength"": 96.0, ""mean_reversion"": 71.6, ""rsi"": 90.0, ""composite"": 82.1}",
8992c5a4,2026-02-25,DTM,BUY,582,137.28,79896.96,127.67,164.74,SIGNAL,BULL,73.7,"{""momentum"": 80.3, ""volatility"": 78.1, ""volume"": 77.3, ""relative_strength"": 75.2, ""mean_reversion"": 74.9, ""rsi"": 55.0, ""composite"": 73.7}",
26210e1e,2026-02-25,EOG,BUY,653,122.5,79992.5,113.92,147.0,SIGNAL,BULL,70.3,"{""momentum"": 73.4, ""volatility"": 64.1, ""volume"": 50.4, ""relative_strength"": 74.9, ""mean_reversion"": 75.5, ""rsi"": 75.0, ""composite"": 70.3}",
131be055,2026-02-25,RCL,BUY,255,313.0,79815.0,291.09,375.6,SIGNAL,BULL,64.3,"{""momentum"": 78.1, ""volatility"": 27.5, ""volume"": 43.5, ""relative_strength"": 67.4, ""mean_reversion"": 81.0, ""rsi"": 70.0, ""composite"": 64.3}",
bd7567a3,2026-02-25,AEP,BUY,450,132.46,59607.0,123.19,158.95,SIGNAL,BULL,65.6,"{""momentum"": 77.6, ""volatility"": 77.4, ""volume"": 42.1, ""relative_strength"": 79.3, ""mean_reversion"": 66.6, ""rsi"": 35.0, ""composite"": 65.6}",
8e883c9c,2026-02-25,BKR,BUY,900,64.81,58329.0,60.27,77.77,SIGNAL,BULL,67.6,"{""momentum"": 90.4, ""volatility"": 59.7, ""volume"": 38.1, ""relative_strength"": 86.3, ""mean_reversion"": 59.2, ""rsi"": 35.0, ""composite"": 67.6}",
231656b8,2026-02-25,IIPR,BUY,1100,52.8,58080.0,49.1,63.36,SIGNAL,BULL,66.3,"{""momentum"": 88.1, ""volatility"": 47.1, ""volume"": 74.8, ""relative_strength"": 74.9, ""mean_reversion"": 47.8, ""rsi"": 35.0, ""composite"": 66.3}",
f0543709,2026-02-25,STT,BUY,304,131.62,40012.48,122.41,157.94,SIGNAL,BULL,69.0,"{""momentum"": 73.5, ""volatility"": 66.4, ""volume"": 39.8, ""relative_strength"": 56.1, ""mean_reversion"": 93.0, ""rsi"": 90.0, ""composite"": 69.0}",
965e1fc7,2026-02-25,CRGY,BUY,5819,10.31,59993.89,9.59,12.37,SIGNAL,BULL,70.4,"{""momentum"": 69.7, ""volatility"": 39.8, ""volume"": 48.8, ""relative_strength"": 77.7, ""mean_reversion"": 87.8, ""rsi"": 90.0, ""composite"": 70.4}",
0c376a3e,2026-02-25,LXP,BUY,1631,49.02,79951.62,45.59,58.82,SIGNAL,BULL,68.2,"{""momentum"": 65.6, ""volatility"": 73.5, ""volume"": 48.6, ""relative_strength"": 53.2, ""mean_reversion"": 95.8, ""rsi"": 90.0, ""composite"": 68.2}",
42d394ed,2026-02-25,PKG,BUY,20,230.92,4618.4,214.76,277.1,SIGNAL,BULL,63.3,"{""momentum"": 66.4, ""volatility"": 64.3, ""volume"": 43.6, ""relative_strength"": 64.4, ""mean_reversion"": 94.6, ""rsi"": 55.0, ""composite"": 63.3}",
9d64484a,2026-02-25,ACLX,BUY,527,113.76,59951.52,105.8,136.51,SIGNAL,BULL,64.7,"{""momentum"": 100, ""volatility"": 0, ""volume"": 100, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 10.0, ""composite"": 64.7}",
92dc67c6,2026-02-26,APA,BUY,2770,29.1,80607.0,27.06,34.92,SIGNAL,BULL,72.6,"{""momentum"": 80.7, ""volatility"": 45.5, ""volume"": 50.9, ""relative_strength"": 74.9, ""mean_reversion"": 73.5, ""rsi"": 90.0, ""composite"": 72.6}",
13af32ad,2026-02-26,SJM,BUY,694,116.0,80504.0,107.88,139.2,SIGNAL,BULL,76.6,"{""momentum"": 84.3, ""volatility"": 63.7, ""volume"": 74.0, ""relative_strength"": 80.9, ""mean_reversion"": 63.2, ""rsi"": 75.0, ""composite"": 76.6}",
1b1cc158,2026-02-26,ES,BUY,181,75.05,13584.05,69.8,90.06,SIGNAL,BULL,67.6,"{""momentum"": 77.7, ""volatility"": 74.4, ""volume"": 47.4, ""relative_strength"": 70.1, ""mean_reversion"": 71.7, ""rsi"": 55.0, ""composite"": 67.6}",
c81ce13b,2026-02-26,ETR,BUY,571,105.73,60371.83,98.33,126.88,SIGNAL,BULL,68.8,"{""momentum"": 78.7, ""volatility"": 75.8, ""volume"": 42.7, ""relative_strength"": 74.9, ""mean_reversion"": 74.9, ""rsi"": 55.0, ""composite"": 68.8}",
