transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
d0ddf01e,2026-02-26,APA,BUY,2749,29.1,79995.9,27.06,34.92,SIGNAL,BULL,72.6,"{""momentum"": 80.7, ""volatility"": 45.5, ""volume"": 51.1, ""relative_strength"": 74.9, ""mean_reversion"": 73.5, ""rsi"": 90.0, ""composite"": 72.6}",
3fad9cce,2026-02-26,SJM,BUY,689,116.0,79924.0,107.88,139.2,SIGNAL,BULL,76.6,"{""momentum"": 84.3, ""volatility"": 63.7, ""volume"": 74.0, ""relative_strength"": 80.9, ""mean_reversion"": 63.2, ""rsi"": 75.0, ""composite"": 76.6}",
a4acd032,2026-02-26,AEP,BUY,605,132.1,79920.5,122.85,158.52,SIGNAL,BULL,69.4,"{""momentum"": 78.5, ""volatility"": 77.4, ""volume"": 44.8, ""relative_strength"": 77.1, ""mean_reversion"": 71.0, ""rsi"": 55.0, ""composite"": 69.4}",
1df7cbb0,2026-02-26,DTM,BUY,577,138.64,79995.28,128.94,166.37,SIGNAL,BULL,68.5,"{""momentum"": 80.5, ""volatility"": 78.3, ""volume"": 64.4, ""relative_strength"": 74.1, ""mean_reversion"": 72.6, ""rsi"": 35.0, ""composite"": 68.5}",
ecba2a73,2026-02-26,ETR,BUY,756,105.73,79931.88,98.33,126.88,SIGNAL,BULL,69.0,"{""momentum"": 78.7, ""volatility"": 75.8, ""volume"": 43.7, ""relative_strength"": 74.9, ""mean_reversion"": 74.9, ""rsi"": 55.0, ""composite"": 69.0}",
237a6ecd,2026-02-26,CRGY,BUY,1140,10.82,12334.8,10.06,12.98,SIGNAL,BULL,71.2,"{""momentum"": 83.5, ""volatility"": 38.7, ""volume"": 55.1, ""relative_strength"": 80.2, ""mean_reversion"": 66.6, ""rsi"": 75.0, ""composite"": 71.2}",
a1cac745,2026-02-26,BKR,BUY,740,64.9,48026.0,60.36,77.88,SIGNAL,BULL,67.7,"{""momentum"": 90.7, ""volatility"": 59.7, ""volume"": 38.8, ""relative_strength"": 85.0, ""mean_reversion"": 62.2, ""rsi"": 35.0, ""composite"": 67.7}",
f009c406,2026-02-26,DTE,BUY,325,146.59,47641.75,136.33,175.91,SIGNAL,BULL,66.6,"{""momentum"": 75.1, ""volatility"": 79.4, ""volume"": 36.0, ""relative_strength"": 70.5, ""mean_reversion"": 77.3, ""rsi"": 55.0, ""composite"": 66.6}",
6a8a2b4e,2026-02-26,IIPR,BUY,1100,54.62,60082.0,50.8,65.54,SIGNAL,BULL,69.2,"{""momentum"": 95.9, ""volatility"": 46.5, ""volume"": 82.5, ""relative_strength"": 79.5, ""mean_reversion"": 32.7, ""rsi"": 35.0, ""composite"": 69.2}",
ac7a61cb,2026-02-28,FTAI,BUY,253,317.24,80261.72,295.03,380.69,SIGNAL,BULL,68.4,"{""momentum"": 96.4, ""volatility"": 34.5, ""volume"": 63.4, ""relative_strength"": 89.1, ""mean_reversion"": 39.7, ""rsi"": 35.0, ""composite"": 68.4}",
be24c472,2026-02-28,SAIA,BUY,150,402.51,60376.5,374.33,483.01,SIGNAL,BULL,80.4,"{""momentum"": 95.7, ""volatility"": 38.0, ""volume"": 36.0, ""relative_strength"": 98.4, ""mean_reversion"": 85.3, ""rsi"": 90.0, ""composite"": 80.4}",
1a1b0e4d,2026-02-28,CMS,BUY,650,77.47,50355.5,72.05,92.96,SIGNAL,BULL,63.3,"{""momentum"": 72.8, ""volatility"": 80.5, ""volume"": 39.6, ""relative_strength"": 70.8, ""mean_reversion"": 78.2, ""rsi"": 35.0, ""composite"": 63.3}",
00fe9577,2026-02-28,ES,BUY,650,75.57,49120.5,70.28,90.68,SIGNAL,BULL,66.4,"{""momentum"": 78.5, ""volatility"": 74.6, ""volume"": 34.4, ""relative_strength"": 71.2, ""mean_reversion"": 70.5, ""rsi"": 55.0, ""composite"": 66.4}",
798ae8d2,2026-02-28,DE,BUY,50,621.84,31092.0,578.31,746.21,SIGNAL,BULL,77.6,"{""momentum"": 85.3, ""volatility"": 54.6, ""volume"": 34.3, ""relative_strength"": 92.3, ""mean_reversion"": 81.3, ""rsi"": 90.0, ""composite"": 77.6}",
3ae33bdf,2026-02-28,EOG,BUY,100,122.29,12229.0,113.73,146.75,SIGNAL,BULL,71.0,"{""momentum"": 71.2, ""volatility"": 64.4, ""volume"": 44.1, ""relative_strength"": 70.5, ""mean_reversion"": 80.9, ""rsi"": 90.0, ""composite"": 71.0}",
106238db,2026-02-28,EXC,BUY,800,49.27,39416.0,45.82,59.12,SIGNAL,BULL,62.2,"{""momentum"": 75.8, ""volatility"": 72.7, ""volume"": 33.3, ""relative_strength"": 72.9, ""mean_reversion"": 68.8, ""rsi"": 35.0, ""composite"": 62.2}",
bb065c60,2026-02-28,PKG,BUY,346,232.14,80320.44,215.89,278.57,SIGNAL,BULL,68.4,"{""momentum"": 76.8, ""volatility"": 64.6, ""volume"": 51.0, ""relative_strength"": 59.0, ""mean_reversion"": 94.4, ""rsi"": 70.0, ""composite"": 68.4}",
SELL_APA_2026-02-28,2026-02-28,APA,SELL,2749,30.37,83487.13,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_SJM_2026-02-28,2026-02-28,SJM,SELL,689,115.95,79889.55,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AEP_2026-02-28,2026-02-28,AEP,SELL,605,133.82,80961.1,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_DTM_2026-02-28,2026-02-28,DTM,SELL,577,138.84,80110.68,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_ETR_2026-02-28,2026-02-28,ETR,SELL,756,107.11,80975.16,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_CRGY_2026-02-28,2026-02-28,CRGY,SELL,1140,11.66,13292.4,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_BKR_2026-02-28,2026-02-28,BKR,SELL,740,65.26,48292.4,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_DTE_2026-02-28,2026-02-28,DTE,SELL,325,148.24,48178.0,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_IIPR_2026-02-28,2026-02-28,IIPR,SELL,1100,52.96,58256.0,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_FTAI_2026-02-28,2026-02-28,FTAI,SELL,253,305.8,77367.4,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_SAIA_2026-02-28,2026-02-28,SAIA,SELL,150,405.39,60808.5,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_CMS_2026-02-28,2026-02-28,CMS,SELL,650,78.07,50745.5,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_ES_2026-02-28,2026-02-28,ES,SELL,650,76.21,49536.5,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_DE_2026-02-28,2026-02-28,DE,SELL,50,629.71,31485.5,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_EOG_2026-02-28,2026-02-28,EOG,SELL,100,124.08,12408.0,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_EXC_2026-02-28,2026-02-28,EXC,SELL,800,49.47,39576.0,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_PKG_2026-02-28,2026-02-28,PKG,SELL,346,232.14,80320.44,0.0,0.0,EMERGENCY_CLOSE,,,{},
b93d79dc,2026-02-28,SAIA,BUY,198,405.39,80267.22,377.01,486.47,SIGNAL,BULL,81.3,"{""momentum"": 96.1, ""volatility"": 38.0, ""volume"": 41.4, ""relative_strength"": 100, ""mean_reversion"": 81.8, ""rsi"": 90.0, ""composite"": 81.3}",
caccfb71,2026-02-28,APA,BUY,2646,30.37,80359.02,28.24,36.44,SIGNAL,BULL,74.3,"{""momentum"": 91.6, ""volatility"": 44.9, ""volume"": 53.8, ""relative_strength"": 85.7, ""mean_reversion"": 54.6, ""rsi"": 75.0, ""composite"": 74.3}",
0a831c4f,2026-02-28,CRGY,BUY,6893,11.66,80372.38,10.84,13.99,SIGNAL,BULL,73.6,"{""momentum"": 100, ""volatility"": 36.3, ""volume"": 60.1, ""relative_strength"": 96.6, ""mean_reversion"": 31.1, ""rsi"": 55.0, ""composite"": 73.6}",
9ebd8806,2026-02-28,FTAI,BUY,262,305.8,80119.6,284.39,366.96,SIGNAL,BULL,75.7,"{""momentum"": 89.2, ""volatility"": 34.3, ""volume"": 91.9, ""relative_strength"": 79.0, ""mean_reversion"": 58.8, ""rsi"": 75.0, ""composite"": 75.7}",
1688d16f,2026-02-28,IIPR,BUY,1517,52.96,80340.32,49.25,63.55,SIGNAL,BULL,73.1,"{""momentum"": 87.2, ""volatility"": 46.3, ""volume"": 79.8, ""relative_strength"": 72.2, ""mean_reversion"": 52.5, ""rsi"": 75.0, ""composite"": 73.1}",
2c3569eb,2026-02-28,SJM,BUY,693,115.95,80353.35,107.83,139.14,SIGNAL,BULL,78.8,"{""momentum"": 83.8, ""volatility"": 64.0, ""volume"": 98.4, ""relative_strength"": 77.4, ""mean_reversion"": 66.7, ""rsi"": 75.0, ""composite"": 78.8}",
