date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-10,650846.52,4348903.4,4999749.92,0.0,0.0,6781.48
2026-03-11,257891.9,4933973.25,5191865.15,192115.23,3.84,6775.8
2026-03-12,230657.14,5167168.3,5397825.44,205960.29,3.97,6672.62
2026-03-14,231911.95,5040416.94,5272328.89,-125496.55,-2.32,6632.19
2026-03-16,808065.9,4474029.96,5282095.86,9766.97,0.19,2503.29
2026-03-17,358209.87,4944315.8,5302525.67,20429.81,0.39,6716.09
2026-03-19,180845.06,5197427.16,5378272.22,75746.55,1.43,6606.49
2026-03-23,199370.15,5134902.33,5334272.48,-43999.74,-0.82,6581.0
2026-03-24,48.12,5451124.89,5451173.01,116900.53,2.19,6556.37
2026-03-25,48.12,5451124.89,5451173.01,0.0,0.0,6556.37
