ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
PBR,42000.0,17.99,20.79,873180.0,117600.0,15.56,16.8,20.25,2026-03-10,11340.02,1.31,20.89,
CRGY,42106.0,11.83,13.67,575589.02,77475.04,15.55,11.07,13.37,2026-03-10,2526.38,0.45,13.67,
CRC,5500.0,61.47,68.51,376805.0,38720.0,11.45,58.4,66.0,2026-03-14,-3960.01,-1.06,68.51,
WDS,4585.0,22.022,24.94,114360.45,13389.58,13.26,20.63,23.8,2026-03-14,1338.82,1.21,24.94,
TS,2700.0,55.78,58.5,157950.0,7344.0,4.88,52.5,61.0,2026-03-17,-1485.0,-0.95,59.06,
YPF,2517.0,40.92,45.0,113261.98,10266.34,9.97,38.23,44.19,2026-03-19,-430.91,-0.38,46.17,
GLNG,3470.0,51.4,56.38,195638.6,17280.6,9.69,48.82,55.98,2026-03-19,-902.2,-0.47,56.38,
TGS,1754.0,33.09,34.59,60670.86,2631.0,4.53,31.29,35.91,2026-03-23,-911.73,-1.47,35.91,
INSW,1203.0,69.18,75.75,91127.25,7903.71,9.5,66.33,73.81,2026-03-23,986.46,1.09,76.2,
E,1200.0,55.22,57.07,68484.0,2220.0,3.35,52.5,59.5,2026-03-27,1200.0,1.75,58.25,
VET,8008.0,13.54,13.82,110670.56,2242.24,2.07,12.79,14.98,2026-03-31,2882.88,2.69,13.82,
TTE,1100.0,90.93,91.83,101013.0,990.0,0.99,86.5,97.0,2026-03-31,-154.0,-0.15,92.39,
MTDR,3506.0,62.48,64.36,225631.08,6576.2,3.0,58.9,68.38,2026-03-31,3856.59,1.75,64.36,
OXY,5518.0,57.06,63.31,349344.58,34487.5,10.95,54.32,61.79,2026-03-16,-329.43,-0.09,65.53,
MUR,6000.0,35.84,42.32,253920.0,38880.0,18.08,33.8,39.0,2026-03-16,3539.99,1.44,42.32,
REPX,20000.0,32.06,37.2,744000.0,102800.0,16.03,30.0,36.0,2026-03-10,5199.96,0.71,37.2,
EQNR,5000.0,39.03,42.46,212300.0,17150.0,8.79,37.2,41.5,2026-03-23,1300.0,0.62,42.62,
IMO,456.0,129.02,131.91,60148.91,1315.79,2.24,122.84,138.13,2026-03-29,538.08,0.9,133.0,
MTZ,600.0,325.0,330.38,198228.0,3228.0,1.66,307.69,349.64,2026-04-02,1632.0,0.81,342.97,Industrials
REX,1800.0,44.71,45.91,82638.0,2160.0,2.68,42.5,48.5,2026-04-06,540.0,0.67,45.91,Basic Materials
EPSN,8000.0,6.43,6.47,51760.0,320.0,0.62,5.95,7.2,2026-04-06,-640.0,-1.24,6.47,Energy
VSH,2500.0,18.84,18.55,46375.0,-725.0,-1.54,17.8,20.5,2026-04-06,-200.0,-0.42,18.94,Technology
SHEL,400.0,92.98,94.18,37672.0,480.0,1.29,89.5,97.0,2026-04-06,408.0,1.1,94.2,Energy
