ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
GLRE,61000,16.24,17.12,1044320.0,53680.0,5.42,15.3,17.85,2026-03-19,Financial Services,17.12,0.0,0.0
GLNG,17905,51.23,53.91,965258.55,47985.4,5.23,48.66,55.84,2026-03-19,Energy,53.91,0.0,0.0
SOBO,18198,33.58,34.25,623281.5,12192.66,2.0,31.8,36.55,2026-03-19,Energy,34.25,0.0,0.0
FLNG,5593,30.375,30.04,168006.45,-1880.93,-1.11,28.66,32.94,2026-03-25,Energy,30.38,-363.55,-0.21
CRC,2797,65.4,68.5,191594.5,8670.7,4.74,62.07,70.58,2026-03-25,Energy,68.5,-251.73,-0.14
IPI,2666,42.34,43.47,115891.02,3012.58,2.67,39.99,46.07,2026-03-25,Basic Materials,43.47,0.0,0.0
CF,2779,127.85,132.09,367076.72,11781.57,3.32,121.89,136.49,2026-03-25,Basic Materials,132.09,,
PBR,9959,19.83,20.45,203667.53,6180.56,3.13,18.93,21.34,2026-03-25,Energy,20.45,,
MUR,4433,39.195,42.22,187161.26,13409.83,7.72,37.35,42.12,2026-03-25,Energy,42.22,,
EQNR,3193,40.03,41.12,131296.16,3480.37,2.72,38.23,42.84,2026-03-25,Energy,41.12,,
VLO,798,248.75,248.75,198502.5,0.0,0.0,235.58,265.65,2026-03-27,Energy,248.75,,
LNG,140,290.5,290.5,40670.0,0.0,0.0,277.14,307.05,2026-03-27,Energy,290.5,,
SCHL,2469,39.5,39.5,97525.5,0.0,0.0,36.95,42.52,2026-03-27,Communication Services,39.5,,
PSX,342,188.0,188.0,64296.0,0.0,0.0,178.79,200.25,2026-03-27,Energy,188.0,,
