transaction_id,buy_transaction_id,ticker,close_date,entry_price,exit_price,pnl,pnl_pct,exit_reason,holding_days,regime_at_entry,regime_at_exit,composite_score_at_entry,signal_rank_at_entry,summary,what_worked,what_failed,pattern_tags,recommendation
54bf2fae,912357e1,OOMA,2026-03-11,14.24,14.17,-3640.0,-0.49,INTELLIGENCE,1,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: OOMA closed at -0.5%,[],"[""Trade lost money: -0.5%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
40301e4b,709811dc,ORC,2026-03-11,7.38,7.43,1105.25,0.68,INTELLIGENCE,0,SIDEWAYS,UNKNOWN,0.0,,Profitable exit: ORC closed at +0.7%,"[""Trade was profitable: +0.7%""]",[],"[""regime_change""]",Continue current strategy - trade executed as planned
f96f38fa,422c4ef9,AEIS,2026-03-12,314.84,305.82,-4320.58,-2.86,INTELLIGENCE,1,UNKNOWN,SIDEWAYS,0.0,,Loss taken: AEIS closed at -2.9%,[],"[""Trade lost money: -2.9%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
1ad242f9,23335598,CGON,2026-03-12,63.5,62.97,-660.91,-0.83,INTELLIGENCE,1,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: CGON closed at -0.8%,[],"[""Trade lost money: -0.8%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
daf8eb50,ab9a8de6,IPI,2026-03-14,40.85,45.26,106303.05,10.8,STOP_LOSS,4,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: IPI closed at +10.8%,"[""Trade was profitable: +10.8%""]",[],[],Continue current strategy - trade executed as planned
cc57a204,0815bc57,KALV,2026-03-14,17.38,16.94,-876.92,-2.53,INTELLIGENCE,2,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: KALV closed at -2.5%,[],"[""Trade lost money: -2.5%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
6fda9511,8c08c076,ISSC,2026-03-14,27.93,27.71,-484.66,-0.79,INTELLIGENCE,2,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: ISSC closed at -0.8%,[],"[""Trade lost money: -0.8%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
7e606c4b,48604577,OXY,2026-03-14,58.44,57.88,-672.0,-0.96,INTELLIGENCE,2,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: OXY closed at -1.0%,[],"[""Trade lost money: -1.0%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
80ee9904,9b95dca3,LXU,2026-03-16,12.75,14.5,78069.25,13.73,STOP_LOSS,6,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: LXU closed at +13.7%,"[""Trade was profitable: +13.7%""]",[],[],Continue current strategy - trade executed as planned
df3f6a24,ad1889b4,CF,2026-03-16,129.57,122.13,-33480.0,-5.74,STOP_LOSS,2,SIDEWAYS,SIDEWAYS,0.0,,Stop loss: CF lost 5.7% in 2 days,[],"[""Trade lost money: -5.7%"", ""Stop loss triggered - thesis invalidated"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
d05555ac,10fe3ac4,WDS,2026-03-16,22.19,22.02,-2550.0,-0.77,INTELLIGENCE,2,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: WDS closed at -0.8%,[],"[""Trade lost money: -0.8%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
c3b4a6a9,3606292d,SWBI,2026-03-16,13.9,14.03,1753.18,0.94,INTELLIGENCE,5,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: SWBI closed at +0.9%,"[""Trade was profitable: +0.9%""]",[],[],Continue current strategy - trade executed as planned
c307f905,b6b5a75d,PARR,2026-03-17,50.92,54.16,5832.0,6.36,INTELLIGENCE,6,UNKNOWN,SIDEWAYS,0.0,,Profitable exit: PARR closed at +6.4%,"[""Trade was profitable: +6.4%""]",[],[],Continue current strategy - trade executed as planned
c50e18d2,6cf46906,REPX,2026-03-17,32.06,34.03,9850.0,6.14,INTELLIGENCE,7,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: REPX closed at +6.1%,"[""Trade was profitable: +6.1%""]",[],[],Continue current strategy - trade executed as planned
33f05601,e80d96d7,WDS,2026-03-17,22.02,22.02,0.0,0.0,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: WDS closed at +0.0%,"[""Trade was profitable: +0.0%""]",[],[],Continue current strategy - trade executed as planned
e6e4b957,3385a53e,ISOU,2026-03-17,11.47,11.47,0.0,0.0,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: ISOU closed at +0.0%,"[""Trade was profitable: +0.0%""]",[],[],Continue current strategy - trade executed as planned
42ca99cb,ab170544,VYGR,2026-03-17,4.31,3.92,-9772.62,-9.05,STOP_LOSS,0,SIDEWAYS,SIDEWAYS,0.0,,Stop loss: VYGR lost 9.0% in 0 days,[],"[""Trade lost money: -9.0%"", ""Stop loss triggered - thesis invalidated"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
b7bdd47c,a3445064,PSX,2026-03-17,173.48,170.0,-4176.0,-2.01,INTELLIGENCE,1,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: PSX closed at -2.0%,[],"[""Trade lost money: -2.0%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
949aa903,93015aaa,UAN,2026-03-17,131.4,128.41,-3588.0,-2.28,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: UAN closed at -2.3%,[],"[""Trade lost money: -2.3%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
d41af847,b050578c,IPI,2026-03-19,42.35,38.99,-23103.36,-7.93,STOP_LOSS,3,SIDEWAYS,SIDEWAYS,0.0,,Stop loss: IPI lost 7.9% in 3 days,[],"[""Trade lost money: -7.9%"", ""Stop loss triggered - thesis invalidated"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
