transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
ab9a8de6,2026-03-10,IPI,BUY,24105,40.85,984689.25,38.33,46.3,SIGNAL,SIDEWAYS,0,{},
912357e1,2026-03-10,OOMA,BUY,52000,14.24,740480.0,13.25,16.25,SIGNAL,SIDEWAYS,0,{},
6cf46906,2026-03-10,REPX,BUY,25000,32.06,801500.0,30.0,36.0,SIGNAL,SIDEWAYS,0,{},
30da5b6a,2026-03-10,PBR,BUY,42000,17.99,755580.0,16.8,20.25,SIGNAL,SIDEWAYS,0,{},
9b95dca3,2026-03-10,LXU,BUY,44611,12.75,568790.25,11.85,14.63,SIGNAL,SIDEWAYS,0,{},
075fbafb,2026-03-10,CRGY,BUY,42106,11.83,498113.98,11.07,13.37,SIGNAL,SIDEWAYS,0,{},
54bf2fae,2026-03-11,OOMA,SELL,52000,14.17,736840.0,,,INTELLIGENCE,,,,
fab4cad6,2026-03-11,FLNG,BUY,6537,28.93,189115.41,27.26,31.2,SIGNAL,SIDEWAYS,0,{},
3606292d,2026-03-11,SWBI,BUY,13486,13.9,187455.4,13.01,15.18,SIGNAL,SIDEWAYS,0,{},
709811dc,2026-03-11,ORC,BUY,22105,7.38,163245.42,7.06,7.92,SIGNAL,SIDEWAYS,0,{},
23335598,2026-03-11,CGON,BUY,1247,63.5,79184.5,59.46,69.56,SIGNAL,SIDEWAYS,0,{},
