ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
MTDR,103,61.05,64.36,6628.64,340.49,5.41,53.79,75.11,2026-03-25,36.56,0.56,64.36,
ECPG,129,70.85,71.81,9263.49,123.84,1.35,63.18,88.25,2026-03-25,177.38,1.93,72.53,
PRDO,200,37.86,37.95,7590.0,18.0,0.24,33.5,46.0,2026-03-25,68.0,0.91,38.05,
HUN,250,12.49,12.16,3040.0,-82.5,-2.64,10.78,15.97,2026-03-27,-113.75,-3.52,13.17,
CODI,438,7.46,9.78,4283.64,1016.16,31.1,6.31,9.75,2026-03-30,429.24,11.41,9.78,
CRGY,245,13.5,13.67,3349.15,41.65,1.26,11.73,17.35,2026-03-31,20.83,0.63,13.67,
SM,105,30.44,30.82,3236.1,39.9,1.25,27.4,39.57,2026-04-06,-3.68,-0.11,30.82,Energy
HOPE,280,11.73,11.77,3295.6,11.2,0.34,10.56,15.25,2026-04-06,7.0,0.21,11.77,Financial Services
LILA,390,8.43,8.0,3120.0,-167.7,-5.1,7.59,10.96,2026-04-06,13.65,0.42,8.46,Communication Services
DINO,55,60.72,61.5,3382.5,42.9,1.28,54.65,78.94,2026-04-06,15.68,0.47,61.5,Energy
