ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
CRC,101,56.78,68.5,6918.5,1183.72,20.64,52.2376,68.136,2026-02-11,-79.79,-1.36,68.5,
CRUS,8,141.18,150.0,1200.0,70.56,6.25,129.8856,169.416,2026-02-11,46.4,1.01,150.0,
HLX,174,8.85,9.94,1729.56,189.66,12.32,8.142,10.62,2026-02-11,-401.94,-6.04,10.05,
MGY,57,26.96,32.46,1850.22,313.5,20.4,24.8032,32.352,2026-02-11,74.91,1.22,32.46,
ENS,5,176.88,171.98,859.9,-24.5,-2.77,162.7296,212.256,2026-02-11,24.4,0.72,179.87,
ESE,12,280.1,277.85,3334.2,-27.0,-0.8,257.69,336.12,2026-02-26,16.0,0.36,287.33,
NJR,30,54.445,54.66,1639.77,6.42,0.39,50.09,65.33,2026-03-25,,,54.66,Utilities
IBOC,93,68.98,68.98,6415.14,0.0,0.0,62.09,82.78,2026-03-27,,,68.98,Financial Services
PEBO,141,32.0,32.0,4512.0,0.0,0.0,28.8,38.4,2026-03-27,,,32.0,Financial Services
KOP,110,38.77,38.77,4264.7,0.0,0.0,34.12,47.3,2026-03-27,,,38.77,Basic Materials
ECPG,65,70.55,70.55,4585.75,0.0,0.0,62.09,88.19,2026-03-27,,,70.55,Financial Services
PRDO,105,37.89,37.89,3978.45,0.0,0.0,33.34,46.46,2026-03-27,,,37.89,Consumer Defensive
BTU,115,37.1486,37.1486,4272.09,0.0,0.0,31.96,45.69,2026-03-27,,,37.1486,Energy
MTX,55,70.72,70.72,3889.6,0.0,0.0,62.63,85.57,2026-03-27,,,70.72,Basic Materials
