transaction_id,buy_transaction_id,ticker,close_date,entry_price,exit_price,pnl,pnl_pct,exit_reason,holding_days,regime_at_entry,regime_at_exit,composite_score_at_entry,signal_rank_at_entry,summary,what_worked,what_failed,pattern_tags,recommendation
3d312557,b9465497,BANF,2026-01-30,109.95,109.9499969482422,-0.0,-0.0,INTELLIGENCE,-1,SIDEWAYS,UNKNOWN,62.6,,Loss taken: BANF closed at -0.0%,[],"[""Trade lost money: -0.0%"", ""High mean_reversion score (98) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
f5e18f35,f9dfc79c,FUN,2026-01-30,18.01,18.010000228881836,0.0,0.0,INTELLIGENCE,0,BULL,UNKNOWN,63.0,5.0,Profitable exit: FUN closed at +0.0%,"[""Trade was profitable: +0.0%"", ""Strong rsi score (90) contributed to success"", ""Ranked #5.0 but still profitable - diversification pays""]",[],"[""regime_change"", ""low_rank_winner""]",Continue current strategy - trade executed as planned
bd71d9de,e6065cc7,MGEE,2026-01-30,79.88,79.87999725341797,-0.0,-0.0,INTELLIGENCE,-1,SIDEWAYS,UNKNOWN,65.8,,Loss taken: MGEE closed at -0.0%,[],"[""Trade lost money: -0.0%"", ""High mean_reversion score (94) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
27d1045b,2b71b3d3,SM,2026-01-30,19.51,19.469999313354492,-1.12,-0.21,INTELLIGENCE,-6,SIDEWAYS,UNKNOWN,71.1,,Loss taken: SM closed at -0.2%,[],"[""Trade lost money: -0.2%"", ""High rsi score (90) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
eded7d8d,fad0a4be,MGRC,2026-01-30,115.44,111.69000244140624,-18.75,-3.25,INTELLIGENCE,-3,SIDEWAYS,UNKNOWN,70.1,,Loss taken: MGRC closed at -3.2%,[],"[""Trade lost money: -3.2%"", ""High rsi score (90) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
c8a1a5dc,de3a9eed,LMND,2026-01-30,86.73,86.7300033569336,0.0,0.0,INTELLIGENCE,-1,SIDEWAYS,UNKNOWN,63.1,,Profitable exit: LMND closed at +0.0%,"[""Trade was profitable: +0.0%"", ""Strong rsi score (90) contributed to success""]",[],"[""regime_change""]",Continue current strategy - trade executed as planned
8b11940d,2a48ce9d,BELFB,2026-01-30,215.59,201.19000244140625,-57.6,-6.68,TRIM_PROFIT,-3,SIDEWAYS,UNKNOWN,73.6,,Loss taken: BELFB closed at -6.7%,[],"[""Trade lost money: -6.7%"", ""High relative_strength score (98) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
8d39480e,2a48ce9d,BELFB,2026-01-30,215.59,201.19000244140625,-288.0,-6.68,MANUAL,-3,SIDEWAYS,UNKNOWN,73.6,,Loss taken: BELFB closed at -6.7%,[],"[""Trade lost money: -6.7%"", ""High relative_strength score (98) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
79166d0b,088b85ee,TDW,2026-01-30,64.64,62.49,-154.8,-3.33,MANUAL,-3,SIDEWAYS,UNKNOWN,70.6,,Loss taken: TDW closed at -3.3%,[],"[""Trade lost money: -3.3%"", ""High relative_strength score (100) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
e34dbd80,bcef22c8,AX,2026-01-30,98.42,98.99,23.37,0.58,MANUAL,-3,SIDEWAYS,UNKNOWN,73.8,,Profitable exit: AX closed at +0.6%,"[""Trade was profitable: +0.6%"", ""Strong momentum score (86) contributed to success""]",[],"[""regime_change""]",Continue current strategy - trade executed as planned
45eab383,9203b001,SFBS,2026-01-30,84.86,81.85,-132.44,-3.55,MANUAL,-6,SIDEWAYS,UNKNOWN,72.9,,Loss taken: SFBS closed at -3.5%,[],"[""Trade lost money: -3.5%"", ""High rsi score (90) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
771a84cc,34fdc932,BOH,2026-01-30,75.44,74.77999877929688,-35.64,-0.87,MANUAL,-3,SIDEWAYS,UNKNOWN,71.3,,Loss taken: BOH closed at -0.9%,[],"[""Trade lost money: -0.9%"", ""High rsi score (90) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
49d12ffa,b4ecc68e,CAKE,2026-01-30,58.6,57.96,-32.64,-1.09,MANUAL,-3,SIDEWAYS,UNKNOWN,70.4,,Loss taken: CAKE closed at -1.1%,[],"[""Trade lost money: -1.1%"", ""High mean_reversion score (97) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
eea393a5,141b2dcd,WSBC,2026-01-30,36.01,35.29,-54.0,-2.0,MANUAL,-3,SIDEWAYS,UNKNOWN,71.4,,Loss taken: WSBC closed at -2.0%,[],"[""Trade lost money: -2.0%"", ""High rsi score (90) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
f07e6c2a,16dc427e,CBU,2026-01-30,62.5,62.5,0.0,0.0,MANUAL,-1,SIDEWAYS,UNKNOWN,72.4,,Profitable exit: CBU closed at +0.0%,"[""Trade was profitable: +0.0%"", ""Strong mean_reversion score (91) contributed to success""]",[],"[""regime_change""]",Continue current strategy - trade executed as planned
7119184e,eeab6858,ALE,2026-01-30,67.9,67.9,0.0,0.0,MANUAL,-6,SIDEWAYS,UNKNOWN,76.8,,Profitable exit: ALE closed at +0.0%,"[""Trade was profitable: +0.0%"", ""Strong volume score (100) contributed to success""]",[],"[""regime_change""]",Continue current strategy - trade executed as planned
1f17245d,ba5111d3,HASI,2026-01-30,34.44,34.41,-1.68,-0.09,MANUAL,-3,SIDEWAYS,UNKNOWN,71.4,,Loss taken: HASI closed at -0.1%,[],"[""Trade lost money: -0.1%"", ""High mean_reversion score (91) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
6ac6c1cc,086fb560,BTU,2026-01-30,35.26,35.26,0.0,0.0,MANUAL,-1,SIDEWAYS,UNKNOWN,68.6,,Profitable exit: BTU closed at +0.0%,"[""Trade was profitable: +0.0%"", ""Strong mean_reversion score (96) contributed to success""]",[],"[""regime_change""]",Continue current strategy - trade executed as planned
61ef0be0,49924a1e,GH,2026-01-30,114.9,114.04,-12.04,-0.75,MANUAL,-3,SIDEWAYS,UNKNOWN,71.7,,Loss taken: GH closed at -0.7%,[],"[""Trade lost money: -0.7%"", ""High rsi score (90) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
c55328bb,46cbf4ac,MTRN,2026-01-30,140.31,138.28,-20.3,-1.45,MANUAL,-3,SIDEWAYS,UNKNOWN,72.7,,Loss taken: MTRN closed at -1.4%,[],"[""Trade lost money: -1.4%"", ""High mean_reversion score (98) didn't prevent loss"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to UNKNOWN during hold"", ""High momentum didn't sustain - possible reversal""]","[""quick_stop"", ""regime_change"", ""momentum_reversal""]",Review entry timing - consider waiting for pullbacks before entry
