transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
8c194e38,2026-02-06,WDFC,BUY,20,241.04,4820.8,221.76,289.25,SIGNAL,BULL,76.5,"{""momentum"": 96.9, ""volatility"": 63.2, ""volume"": 41.4, ""relative_strength"": 100, ""mean_reversion"": 46.6, ""rsi"": 75.0}",
94842778,2026-02-06,TEX,BUY,78,63.53,4955.34,58.45,76.24,SIGNAL,BULL,76.1,"{""momentum"": 86.9, ""volatility"": 50.7, ""volume"": 98.3, ""relative_strength"": 62.6, ""mean_reversion"": 74.5, ""rsi"": 90.0}",
27d4ec51,2026-02-06,CRC,BUY,90,55.12,4960.8,50.71,66.14,SIGNAL,BULL,75.9,"{""momentum"": 93.9, ""volatility"": 60.0, ""volume"": 45.3, ""relative_strength"": 99.2, ""mean_reversion"": 51.3, ""rsi"": 75.0}",
4ddbb0d7,2026-02-06,AEIS,BUY,18,270.9,4876.2,249.23,325.08,SIGNAL,BULL,75.9,"{""momentum"": 96.7, ""volatility"": 41.0, ""volume"": 32.7, ""relative_strength"": 100, ""mean_reversion"": 69.5, ""rsi"": 90.0}",
3ec13d9c,2026-02-06,ALE,BUY,73,67.9,4956.7,62.47,81.48,SIGNAL,BULL,75.5,"{""momentum"": 61.7, ""volatility"": 96.9, ""volume"": 100, ""relative_strength"": 48.1, ""mean_reversion"": 97.7, ""rsi"": 75.0}",
767ac628,2026-02-06,CRUS,BUY,34,144.05,4897.7,132.53,172.86,SIGNAL,BULL,75.3,"{""momentum"": 97.8, ""volatility"": 59.4, ""volume"": 77.8, ""relative_strength"": 92.4, ""mean_reversion"": 40.7, ""rsi"": 55.0}",
8bc22648,2026-02-06,HP,BUY,139,35.95,4997.05,33.07,43.14,SIGNAL,BULL,75.1,"{""momentum"": 94.2, ""volatility"": 51.2, ""volume"": 60.9, ""relative_strength"": 90.0, ""mean_reversion"": 57.5, ""rsi"": 75.0}",
2e55929d,2026-02-06,VIRT,BUY,130,38.22,4968.6,35.16,45.86,SIGNAL,BULL,75.1,"{""momentum"": 73.5, ""volatility"": 60.2, ""volume"": 56.4, ""relative_strength"": 84.9, ""mean_reversion"": 86.2, ""rsi"": 90.0}",
96fda864,2026-02-06,GOLF,BUY,49,101.25,4961.25,93.15,121.5,SIGNAL,BULL,73.6,"{""momentum"": 91.6, ""volatility"": 70.3, ""volume"": 51.0, ""relative_strength"": 86.6, ""mean_reversion"": 63.6, ""rsi"": 55.0}",
81aceb94,2026-02-06,MGRC,BUY,41,119.38,4894.58,109.83,143.26,SIGNAL,BULL,73.4,"{""momentum"": 82.5, ""volatility"": 60.8, ""volume"": 52.7, ""relative_strength"": 73.3, ""mean_reversion"": 73.8, ""rsi"": 90.0}",
f3ffef03,2026-02-06,HLX,BUY,83,8.56,710.48,7.88,10.27,SIGNAL,BULL,72.9,"{""momentum"": 98.1, ""volatility"": 43.3, ""volume"": 71.9, ""relative_strength"": 99.3, ""mean_reversion"": 38.9, ""rsi"": 55.0}",
7c6dac29,2026-02-06,ALE,SELL,73,67.9,4956.7,,,MANUAL,,,,
SELL_WDFC_2026-02-06,2026-02-06,WDFC,SELL,20,238.53,4770.6,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_TEX_2026-02-06,2026-02-06,TEX,SELL,78,62.74,4893.72,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_CRC_2026-02-06,2026-02-06,CRC,SELL,90,55.42,4987.8,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AEIS_2026-02-06,2026-02-06,AEIS,SELL,18,273.26,4918.68,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_CRUS_2026-02-06,2026-02-06,CRUS,SELL,34,142.78,4854.52,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_HP_2026-02-06,2026-02-06,HP,SELL,139,35.97,4999.83,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_VIRT_2026-02-06,2026-02-06,VIRT,SELL,130,38.53,5008.9,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_GOLF_2026-02-06,2026-02-06,GOLF,SELL,49,101.54,4975.46,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_MGRC_2026-02-06,2026-02-06,MGRC,SELL,41,119.43,4896.63,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_HLX_2026-02-06,2026-02-06,HLX,SELL,83,8.56,710.48,0.0,0.0,EMERGENCY_CLOSE,,,{},
e7f83452,2026-02-06,CRC,BUY,90,55.42,4987.8,50.99,66.5,SIGNAL,BULL,76.1,"{""momentum"": 94.6, ""volatility"": 59.5, ""volume"": 47.5, ""relative_strength"": 99.8, ""mean_reversion"": 48.5, ""rsi"": 75.0}",
944fd68a,2026-02-06,TEX,BUY,79,62.74,4956.46,57.72,75.29,SIGNAL,BULL,75.5,"{""momentum"": 84.5, ""volatility"": 50.8, ""volume"": 100, ""relative_strength"": 58.3, ""mean_reversion"": 80.7, ""rsi"": 90.0}",
46233605,2026-02-06,CRUS,BUY,35,142.78,4997.3,131.36,171.34,SIGNAL,BULL,75.0,"{""momentum"": 95.2, ""volatility"": 59.3, ""volume"": 83.5, ""relative_strength"": 88.8, ""mean_reversion"": 45.4, ""rsi"": 55.0}",
