transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
15730ded,2026-03-06,BUI,BUY,249,30.09,7492.41,28.59,36.11,SIGNAL,SIDEWAYS,85.2,"{""momentum"": 80.9, ""volatility"": 77.2, ""volume"": 100, ""relative_strength"": 82.9, ""mean_reversion"": 88.8, ""rsi"": 90.0, ""composite"": 85.2}",
9f12eaee,2026-03-06,AEP,BUY,56,131.87,7384.72,125.28,158.24,SIGNAL,SIDEWAYS,79.5,"{""momentum"": 73.6, ""volatility"": 78.8, ""volume"": 53.9, ""relative_strength"": 88.6, ""mean_reversion"": 87.8, ""rsi"": 90.0, ""composite"": 79.5}",
2b285d5b,2026-03-06,ASIX,BUY,381,19.61,7471.41,18.63,23.53,SIGNAL,SIDEWAYS,73.4,"{""momentum"": 85.9, ""volatility"": 43.0, ""volume"": 79.1, ""relative_strength"": 77.9, ""mean_reversion"": 72.3, ""rsi"": 90.0, ""composite"": 73.4}",
98ac80b8,2026-03-06,BBCQ,BUY,746,10.05,7497.3,9.55,12.06,SIGNAL,SIDEWAYS,75.9,"{""momentum"": 57.9, ""volatility"": 90.7, ""volume"": 100, ""relative_strength"": 66.1, ""mean_reversion"": 95.2, ""rsi"": 55.0, ""composite"": 75.9}",
24d3a0d4,2026-03-06,AGRO,BUY,738,10.16,7498.08,9.65,12.19,SIGNAL,SIDEWAYS,68.8,"{""momentum"": 97.7, ""volatility"": 42.8, ""volume"": 93.8, ""relative_strength"": 100, ""mean_reversion"": 38.0, ""rsi"": 35.0, ""composite"": 68.8}",
048eace8,2026-03-06,AM,BUY,163,22.97,3744.11,21.82,27.56,SIGNAL,SIDEWAYS,67.9,"{""momentum"": 94.8, ""volatility"": 75.0, ""volume"": 32.7, ""relative_strength"": 100, ""mean_reversion"": 68.3, ""rsi"": 10.0, ""composite"": 67.9}",
62ae2c68,2026-03-06,AMPY,BUY,606,6.1,3696.6,5.79,7.32,SIGNAL,SIDEWAYS,69.6,"{""momentum"": 92.9, ""volatility"": 41.0, ""volume"": 76.6, ""relative_strength"": 100, ""mean_reversion"": 47.2, ""rsi"": 55.0, ""composite"": 69.6}",
f71c34c1,2026-03-09,ALM,BUY,262,18.72,4904.64,17.78,22.46,SIGNAL,SIDEWAYS,61.2,"{""momentum"": 85.2, ""volatility"": 0, ""volume"": 75.3, ""relative_strength"": 100, ""mean_reversion"": 22.0, ""rsi"": 90.0, ""composite"": 61.2}",
e173acad,2026-03-09,ATO,BUY,18,185.04,3330.72,175.79,222.05,SIGNAL,SIDEWAYS,76.3,"{""momentum"": 69.1, ""volatility"": 82.5, ""volume"": 52.0, ""relative_strength"": 86.5, ""mean_reversion"": 86.7, ""rsi"": 75.0, ""composite"": 76.3}",
SELL_BUI_2026-03-09,2026-03-09,BUI,SELL,249,28.02,6976.98,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AEP_2026-03-09,2026-03-09,AEP,SELL,56,131.72,7376.32,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_ASIX_2026-03-09,2026-03-09,ASIX,SELL,381,18.93,7212.33,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_BBCQ_2026-03-09,2026-03-09,BBCQ,SELL,746,10.06,7504.76,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AGRO_2026-03-09,2026-03-09,AGRO,SELL,738,9.99,7372.62,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AM_2026-03-09,2026-03-09,AM,SELL,163,22.87,3727.81,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AMPY_2026-03-09,2026-03-09,AMPY,SELL,606,5.9,3575.4,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_ALM_2026-03-09,2026-03-09,ALM,SELL,262,19.7,5161.4,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_ATO_2026-03-09,2026-03-09,ATO,SELL,18,183.93,3310.74,0.0,0.0,EMERGENCY_CLOSE,,,{},
a20ae29b,2026-03-09,AEP,BUY,37,131.64,4870.68,125.06,157.97,SIGNAL,SIDEWAYS,80.1,"{""momentum"": 72.9, ""volatility"": 78.7, ""volume"": 57.5, ""relative_strength"": 89.6, ""mean_reversion"": 89.0, ""rsi"": 90.0, ""composite"": 80.1}",
17e882fb,2026-03-09,BUI,BUY,176,28.07,4940.32,26.67,33.68,SIGNAL,SIDEWAYS,85.1,"{""momentum"": 80.9, ""volatility"": 77.2, ""volume"": 100, ""relative_strength"": 82.3, ""mean_reversion"": 88.8, ""rsi"": 90.0, ""composite"": 85.1}",
