ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
FANG,50,193.59,195.94,9797.0,117.5,1.21,183.91,222.63,2026-03-25,Energy,196.43,117.5,1.21
XOM,60,163.41,163.86,9831.6,27.0,0.28,155.24,183.86,2026-03-25,Energy,164.28,27.0,0.28
CVX,48,203.8147,206.14,9894.68,111.58,1.14,193.62,231.31,2026-03-25,Energy,206.78,111.58,1.14
EXAS,47,104.91,104.95,4932.49,1.72,0.03,99.66,119.6,2026-03-25,Healthcare,104.95,1.72,0.03
EQT,142,66.62,67.73,9617.66,157.62,1.67,63.29,76.36,2026-03-25,Energy,67.73,157.62,1.67
FAST,140,44.77,45.22,6330.8,63.0,1.01,42.54,51.08,2026-03-25,Industrials,45.22,63.0,1.01
JNJ,27,239.14,241.17,6511.59,54.81,0.85,227.18,274.01,2026-03-25,Healthcare,241.17,54.81,0.85
DTM,35,136.14,136.27,4769.45,4.55,0.1,129.33,156.56,2026-03-25,Energy,136.29,4.55,0.1
BMY,80,59.13,59.28,4742.4,12.0,0.25,56.17,67.91,2026-03-25,Healthcare,59.29,12.0,0.25
WMT,39,122.68,122.67,4783.94,-0.59,-0.01,116.55,141.08,2026-03-25,Consumer Defensive,122.85,-0.59,-0.01
GILD,44,139.79,139.44,6135.36,-15.4,-0.25,132.8,160.76,2026-03-25,Healthcare,139.79,-15.4,-0.25
