ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,sector,price_high
NTRS,70,142.97,138.74,9711.8,-296.1,-2.96,134.39,171.56,2026-02-28,-333.2,-3.32,Financial Services,143.5
SJM,139,114.68,109.18,15176.02,-764.5,-4.8,107.8,137.62,2026-02-28,-300.24,-1.94,Consumer Defensive,111.34
CE,241,49.94,50.79,12240.39,204.85,1.7,46.94,59.93,2026-03-01,-424.16,-3.35,Basic Materials,52.55
APA,595,30.37,32.72,19471.37,1401.22,7.75,28.55,36.44,2026-03-01,205.27,1.07,Energy,32.74
CRGY,800,11.66,11.93,9544.0,216.0,2.32,10.96,13.99,2026-03-01,176.0,1.88,Energy,11.93
MPC,70,208.95,218.49,15293.99,667.49,4.56,196.41,250.74,2026-03-02,78.79,0.52,Energy,218.49
MTDR,160,54.12,55.63,8900.8,241.6,2.79,50.87,64.94,2026-03-03,99.2,1.13,Energy,55.63
EQIX,15,969.04,943.19,14147.85,-387.75,-2.67,910.9,1162.85,2026-03-04,-147.15,-1.03,,953.0
AEP,50,132.04,131.17,6558.67,-43.33,-0.66,124.12,158.45,2026-03-05,-43.33,-0.66,,132.04
DTE,7,148.15,148.23,1037.61,0.56,0.05,139.26,177.78,2026-03-06,0.56,0.05,Utilities,148.23
ATO,18,184.32,184.43,3319.74,1.98,0.06,173.26,221.18,2026-03-06,1.98,0.06,Utilities,184.43
EXC,80,48.65,48.62,3889.2,-2.8,-0.07,45.73,58.38,2026-03-06,-2.8,-0.07,Utilities,48.65
