transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
44833823,2026-02-28,GILD,BUY,107,148.95,15937.65,140.01,178.74,SIGNAL,BULL,70.3,"{""momentum"": 70.9, ""volatility"": 62.2, ""volume"": 49.7, ""relative_strength"": 60.2, ""mean_reversion"": 98.9, ""rsi"": 90.0, ""composite"": 70.3}",
3a0f2dd7,2026-02-28,HAYW,BUY,632,15.8,9985.6,14.85,18.96,SIGNAL,BULL,53.2,"{""momentum"": 40.0, ""volatility"": 64.7, ""volume"": 67.4, ""relative_strength"": 42.7, ""mean_reversion"": 87.7, ""rsi"": 55.0, ""composite"": 53.2}",
7dd00735,2026-02-28,NUVB,BUY,1200,5.65,6780.0,5.31,6.78,SIGNAL,BULL,54.1,"{""momentum"": 46.5, ""volatility"": 13.4, ""volume"": 34.7, ""relative_strength"": 67.4, ""mean_reversion"": 98.9, ""rsi"": 70.0, ""composite"": 54.1}",
3bf1ddce,2026-02-28,NTRS,BUY,70,142.97,10007.9,134.39,171.56,SIGNAL,BULL,52.2,"{""momentum"": 53.2, ""volatility"": 66.3, ""volume"": 38.1, ""relative_strength"": 37.1, ""mean_reversion"": 85.5, ""rsi"": 55.0, ""composite"": 52.2}",
a330afa8,2026-02-28,FHN,BUY,335,23.94,8019.9,22.5,28.73,SIGNAL,BULL,49.1,"{""momentum"": 47.8, ""volatility"": 67.9, ""volume"": 32.4, ""relative_strength"": 42.3, ""mean_reversion"": 78.5, ""rsi"": 45.0, ""composite"": 49.1}",
f207280b,2026-02-28,MS,BUY,47,168.54,7921.38,158.43,202.25,SIGNAL,BULL,45.6,"{""momentum"": 40.9, ""volatility"": 60.7, ""volume"": 39.0, ""relative_strength"": 28.4, ""mean_reversion"": 79.3, ""rsi"": 55.0, ""composite"": 45.6}",
c21df641,2026-02-28,SJM,BUY,139,114.68,15940.52,107.8,137.62,SIGNAL,BULL,74.1,"{""momentum"": 80.7, ""volatility"": 63.9, ""volume"": 68.6, ""relative_strength"": 74.0, ""mean_reversion"": 72.3, ""rsi"": 75.0, ""composite"": 74.1}",
e2c06ec1,2026-02-28,PKG,BUY,70,227.51,15925.7,213.86,273.01,SIGNAL,BULL,60.0,"{""momentum"": 72.4, ""volatility"": 64.2, ""volume"": 43.7, ""relative_strength"": 53.5, ""mean_reversion"": 85.0, ""rsi"": 45.0, ""composite"": 60.0}",
87303671,2026-02-28,SIGI,BUY,80,83.55,6684.0,78.54,100.26,SIGNAL,BULL,54.5,"{""momentum"": 55.3, ""volatility"": 73.6, ""volume"": 39.4, ""relative_strength"": 47.5, ""mean_reversion"": 86.1, ""rsi"": 45.0, ""composite"": 54.5}",
15d28625,2026-02-28,RCL,BUY,24,310.45,7450.8,291.82,372.54,SIGNAL,BULL,49.7,"{""momentum"": 59.0, ""volatility"": 27.6, ""volume"": 48.7, ""relative_strength"": 36.9, ""mean_reversion"": 77.7, ""rsi"": 55.0, ""composite"": 49.7}",
d322c88f,2026-03-01,ACLX,BUY,141,113.79,16044.39,106.96,136.55,SIGNAL,BULL,63.3,"{""momentum"": 95.0, ""volatility"": 0, ""volume"": 100, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 10.0, ""composite"": 63.3}",
6698a077,2026-03-01,CE,BUY,241,49.94,12035.54,46.94,59.93,SIGNAL,BULL,62.5,"{""momentum"": 78.3, ""volatility"": 35.6, ""volume"": 40.6, ""relative_strength"": 79.3, ""mean_reversion"": 69.6, ""rsi"": 45.0, ""composite"": 62.5}",
78292cb4,2026-03-01,APA,BUY,595,30.37,18070.15,28.55,36.44,SIGNAL,BULL,74.3,"{""momentum"": 91.6, ""volatility"": 44.9, ""volume"": 53.8, ""relative_strength"": 85.7, ""mean_reversion"": 54.6, ""rsi"": 75.0, ""composite"": 74.3}",
31b60829,2026-03-01,COP,BUY,40,113.46,4538.4,106.65,136.15,SIGNAL,BULL,71.1,"{""momentum"": 83.8, ""volatility"": 59.5, ""volume"": 41.6, ""relative_strength"": 72.5, ""mean_reversion"": 76.4, ""rsi"": 75.0, ""composite"": 71.1}",
096e0190,2026-03-01,BKR,BUY,36,65.26,2349.36,61.34,78.31,SIGNAL,BULL,70.3,"{""momentum"": 92.4, ""volatility"": 60.1, ""volume"": 45.0, ""relative_strength"": 90.4, ""mean_reversion"": 63.1, ""rsi"": 35.0, ""composite"": 70.3}",
dbac3e77,2026-03-01,CRGY,BUY,800,11.66,9328.0,10.96,13.99,SIGNAL,BULL,73.6,"{""momentum"": 100, ""volatility"": 36.3, ""volume"": 60.1, ""relative_strength"": 96.6, ""mean_reversion"": 31.1, ""rsi"": 55.0, ""composite"": 73.6}",
