ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
CORT,511,38.96,41.36,21134.96,1226.4,6.16,35.06,54.54,2026-03-30,-112.42,-0.52,43.73,
PEP,129,154.67,156.4,20175.6,223.17,1.12,139.2,216.54,2026-03-30,-181.89,-0.9,157.01,
CELC,188,106.73,114.56,21538.22,1472.98,7.34,96.06,149.42,2026-03-30,224.66,1.06,116.73,
NBIX,155,129.11,132.07,20471.62,459.57,2.3,116.2,180.75,2026-03-30,-13.18,-0.06,133.35,
JPM,70,285.58,295.41,20678.7,688.1,3.44,257.02,399.81,2026-03-30,117.11,0.57,297.5,
PFE,700,28.55,27.89,19522.93,-462.07,-2.31,25.7,39.97,2026-04-01,-287.0,-1.45,28.71,Healthcare
JNJ,80,244.12,240.58,19246.4,-283.2,-1.45,219.71,341.77,2026-04-01,-171.2,-0.88,246.86,Healthcare
CSX,349,41.55,41.36,14434.64,-66.31,-0.46,37.4,58.17,2026-04-01,20.94,0.15,41.55,Industrials
CAT,27,730.32,718.7,19404.9,-313.74,-1.59,657.29,1022.45,2026-04-01,64.53,0.33,730.4,Industrials
BMY,258,62.0,59.23,15282.63,-713.37,-4.46,55.8,86.8,2026-04-01,-174.15,-1.13,62.0,Healthcare
XOM,119,165.7811,162.7,19361.3,-366.65,-1.86,149.2,232.1,2026-04-02,239.19,1.25,165.78,Energy
MTZ,47,325.33,338.0,15885.76,595.26,3.89,292.8,455.46,2026-04-02,66.27,0.42,342.97,Industrials
FANG,56,200.92,194.22,10876.04,-375.48,-3.34,180.83,281.29,2026-04-02,32.76,0.3,200.92,Energy
