ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
BBCQ,2973,10.06,10.13,30116.49,208.11,0.7,9.66,12.07,2026-03-06,Unknown,10.13,208.11,0.7
AMPY,4878,6.13,5.22,25438.77,-4463.37,-14.93,5.88,7.36,2026-03-06,Energy,6.29,-3341.43,-11.61
BATL,608,21.36,17.9,10883.2,-2103.68,-16.2,20.51,25.63,2026-03-06,Energy,22.36,-510.72,-4.48
CRGY,1417,11.865,11.77,16685.17,-127.53,-0.76,11.39,14.24,2026-03-06,Energy,12.06,-262.15,-1.55
OXY,367,54.19,52.8,19377.6,-510.13,-2.57,52.02,65.03,2026-03-06,Energy,55.75,-814.74,-4.03
MRVL,187,89.6517,93.96,17570.52,805.65,4.81,86.07,107.58,2026-03-06,Technology,93.96,244.97,1.41
APA,300,32.965,31.86,9559.5,-330.0,-3.34,31.65,39.56,2026-03-06,Energy,33.35,-217.5,-2.22
AMPX,1028,16.345,18.48,19001.66,2199.0,13.09,15.69,19.61,2026-03-06,Industrials,18.48,785.5,4.31
BW,1243,13.525,14.5,18020.77,1209.19,7.19,12.98,16.23,2026-03-06,Industrials,14.5,1252.7,7.47
CYBR,30,408.85,408.85,12265.5,0.0,0.0,392.5,490.62,2026-03-06,Technology,408.85,,
FET,350,57.13,58.42,20445.25,449.75,2.25,54.84,68.56,2026-03-09,Energy,58.49,320.25,1.59
AROC,500,35.38,36.72,18357.5,667.5,3.77,33.96,42.46,2026-03-09,Energy,36.72,387.5,2.16
