transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
e35b446e,2026-03-06,BBCQ,BUY,2982,10.06,29998.92,9.66,12.07,SIGNAL,SIDEWAYS,76.0,"{""momentum"": 58.2, ""volatility"": 90.7, ""volume"": 100, ""relative_strength"": 66.9, ""mean_reversion"": 94.7, ""rsi"": 55.0, ""composite"": 76.0}",
39d3845b,2026-03-06,AMPY,BUY,4869,6.16,29993.04,5.91,7.39,SIGNAL,SIDEWAYS,69.3,"{""momentum"": 92.2, ""volatility"": 41.1, ""volume"": 73.9, ""relative_strength"": 100, ""mean_reversion"": 48.4, ""rsi"": 55.0, ""composite"": 69.3}",
5b5c3e8d,2026-03-06,ANNA,BUY,3260,4.67,15224.2,4.48,5.6,SIGNAL,SIDEWAYS,59.0,"{""momentum"": 100, ""volatility"": 0, ""volume"": 100, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 55.0, ""composite"": 59.0}",
280318b2,2026-03-06,ANNA,SELL,3260,4.0900,13333.40,,,STOP_LOSS,,,,
cdd8e75f,2026-03-06,AMPX,BUY,654,17.11,11189.94,16.43,20.53,SIGNAL,SIDEWAYS,53.9,"{""momentum"": 100, ""volatility"": 0, ""volume"": 82.9, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 35.0, ""composite"": 53.9}",
b7c841f0,2026-03-06,BW,BUY,829,13.51,11199.79,12.97,16.21,SIGNAL,SIDEWAYS,56.0,"{""momentum"": 100, ""volatility"": 0, ""volume"": 100, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 35.0, ""composite"": 56.0}",
826835b2,2026-03-06,BATL,BUY,300,22.55,6763.5,21.64,27.05,SIGNAL,SIDEWAYS,59.0,"{""momentum"": 100, ""volatility"": 0, ""volume"": 100, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 55.0, ""composite"": 59.0}",
SELL_BBCQ_2026-03-06,2026-03-06,BBCQ,SELL,2982,10.06,29998.92,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AMPY_2026-03-06,2026-03-06,AMPY,SELL,4869,6.14,29895.66,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_AMPX_2026-03-06,2026-03-06,AMPX,SELL,654,16.3300,10679.82,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_BW_2026-03-06,2026-03-06,BW,SELL,829,13.1000,10859.90,0.0,0.0,EMERGENCY_CLOSE,,,{},
SELL_BATL_2026-03-06,2026-03-06,BATL,SELL,300,22.3600,6708.00,0.0,0.0,EMERGENCY_CLOSE,,,{},
bde2a079,2026-03-06,BBCQ,BUY,2973,10.06,29908.38,9.66,12.07,SIGNAL,SIDEWAYS,76.0,"{""momentum"": 58.2, ""volatility"": 90.7, ""volume"": 100, ""relative_strength"": 66.9, ""mean_reversion"": 94.7, ""rsi"": 55.0, ""composite"": 76.0}",
907223df,2026-03-06,AMPY,BUY,4878,6.13,29902.14,5.88,7.36,SIGNAL,SIDEWAYS,69.3,"{""momentum"": 92.2, ""volatility"": 41.1, ""volume"": 73.9, ""relative_strength"": 100, ""mean_reversion"": 48.4, ""rsi"": 55.0, ""composite"": 69.3}",
d5f68c9c,2026-03-06,BATL,BUY,608,21.36,12986.88,20.51,25.63,SIGNAL,SIDEWAYS,59.0,"{""momentum"": 100, ""volatility"": 0, ""volume"": 100, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 55.0, ""composite"": 59.0}",
3d04c158,2026-03-06,CRGY,BUY,1417,11.87,16812.71,11.39,14.24,SIGNAL,SIDEWAYS,72.2,"{""momentum"": 86.6, ""volatility"": 33.5, ""volume"": 98.9, ""relative_strength"": 100, ""mean_reversion"": 45.5, ""rsi"": 75.0, ""composite"": 72.2}",
b817fae1,2026-03-06,OXY,BUY,367,54.19,19887.73,52.02,65.03,SIGNAL,SIDEWAYS,73.2,"{""momentum"": 92.3, ""volatility"": 53.1, ""volume"": 75.7, ""relative_strength"": 100, ""mean_reversion"": 57.2, ""rsi"": 55.0, ""composite"": 73.2}",
0fceb213,2026-03-06,AAOI,BUY,199,99.8,19860.22,95.81,119.76,SIGNAL,SIDEWAYS,69.8,"{""momentum"": 53.5, ""volatility"": 81.8, ""volume"": 22.6, ""relative_strength"": 67.1, ""mean_reversion"": 98.9, ""rsi"": 90.0, ""composite"": 69.8}",
75d3f2cf,2026-03-06,MRVL,BUY,187,89.65,16764.87,86.07,107.58,SIGNAL,SIDEWAYS,63.4,"{""momentum"": 79.3, ""volatility"": 27.1, ""volume"": 95.0, ""relative_strength"": 95.7, ""mean_reversion"": 32.7, ""rsi"": 55.0, ""composite"": 63.4}",
ea9d6716,2026-03-06,APA,BUY,300,32.97,9889.5,31.65,39.56,SIGNAL,SIDEWAYS,68.1,"{""momentum"": 97.2, ""volatility"": 45.0, ""volume"": 65.4, ""relative_strength"": 100, ""mean_reversion"": 33.6, ""rsi"": 55.0, ""composite"": 68.1}",
36b76424,2026-03-06,AMPX,BUY,1028,16.34,16802.66,15.69,19.61,SIGNAL,SIDEWAYS,54.7,"{""momentum"": 100, ""volatility"": 0, ""volume"": 89.2, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 35.0, ""composite"": 54.7}",
09b1985e,2026-03-06,BW,BUY,1243,13.53,16811.58,12.98,16.23,SIGNAL,SIDEWAYS,56.0,"{""momentum"": 100, ""volatility"": 0, ""volume"": 100, ""relative_strength"": 100, ""mean_reversion"": 0, ""rsi"": 35.0, ""composite"": 56.0}",
971a36fc,2026-03-06,AAOI,SELL,199,95.58,19020.42,,,STOP_LOSS,,,,
19fc0c71,2026-03-06,CYBR,BUY,30,408.85,12265.5,392.5,490.62,SIGNAL,SIDEWAYS,54.9,"{""momentum"": 17.8, ""volatility"": 61.7, ""volume"": 100, ""relative_strength"": 38.2, ""mean_reversion"": 82.2, ""rsi"": 55.0, ""composite"": 54.9}",
6650540e,2026-03-09,FET,BUY,350,57.13,19995.5,54.84,68.56,SIGNAL,SIDEWAYS,72.7,"{""momentum"": 86.7, ""volatility"": 41.3, ""volume"": 29.5, ""relative_strength"": 100, ""mean_reversion"": 81.9, ""rsi"": 90.0, ""composite"": 72.7}",
54eef1b8,2026-03-09,AROC,BUY,500,35.38,17690.0,33.96,42.46,SIGNAL,SIDEWAYS,76.6,"{""momentum"": 76.7, ""volatility"": 66.8, ""volume"": 53.0, ""relative_strength"": 90.0, ""mean_reversion"": 79.0, ""rsi"": 90.0, ""composite"": 76.6}",
