ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct
APA,1317,30.37,31.32,41248.44,1251.15,3.13,28.24,36.44,2026-03-01,1251.15,3.13
BKR,612,65.26,65.62,40159.44,220.32,0.55,60.69,78.31,2026-03-01,220.32,0.55
FTAI,130,305.8,294.24,38251.2,-1502.8,-3.78,284.39,366.96,2026-03-01,-1502.8,-3.78
MIDD,236,168.86,164.61,38847.96,-1003.0,-2.52,157.04,202.63,2026-03-01,-1003.0,-2.52
MTZ,134,298.02,306.37,41053.58,1118.9,2.8,277.16,357.62,2026-03-01,1118.9,2.8
SJM,344,115.95,112.77,38792.88,-1093.92,-2.74,107.83,139.14,2026-03-01,-1093.92,-2.74
ETR,373,107.11,107.15,39966.95,14.92,0.04,99.61,128.53,2026-03-01,14.92,0.04
PKG,172,232.14,231.79,39867.88,-60.2,-0.15,215.89,278.57,2026-03-01,-60.2,-0.15
DTM,288,138.84,141.2,40665.6,679.68,1.7,129.12,166.61,2026-03-01,679.68,1.7
AEP,120,133.82,133.42,16010.4,-48.0,-0.3,124.45,160.58,2026-03-01,-48.0,-0.3
EXC,800,49.47,49.19,39348.0,-228.0,-0.58,46.01,59.36,2026-03-01,-228.0,-0.58
EOG,471,127.17,127.34,59977.14,80.07,0.13,118.27,152.6,2026-03-02,80.07,0.13
GILD,125,149.57,149.43,18678.75,-17.5,-0.09,139.1,179.48,2026-03-02,-17.5,-0.09
