transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
38bc9306,2026-03-01,APA,BUY,1317,30.37,39997.29,28.24,36.44,SIGNAL,BULL,74.3,"{""momentum"": 91.6, ""volatility"": 44.9, ""volume"": 53.8, ""relative_strength"": 85.7, ""mean_reversion"": 54.6, ""rsi"": 75.0, ""composite"": 74.3}",
755605a1,2026-03-01,BKR,BUY,612,65.26,39939.12,60.69,78.31,SIGNAL,BULL,70.3,"{""momentum"": 92.4, ""volatility"": 60.1, ""volume"": 45.0, ""relative_strength"": 90.4, ""mean_reversion"": 63.1, ""rsi"": 35.0, ""composite"": 70.3}",
8849dc4f,2026-03-01,FTAI,BUY,130,305.8,39754.0,284.39,366.96,SIGNAL,BULL,75.7,"{""momentum"": 89.2, ""volatility"": 34.3, ""volume"": 91.9, ""relative_strength"": 79.0, ""mean_reversion"": 58.8, ""rsi"": 75.0, ""composite"": 75.7}",
1e544f36,2026-03-01,MIDD,BUY,236,168.86,39850.96,157.04,202.63,SIGNAL,BULL,78.5,"{""momentum"": 91.8, ""volatility"": 57.0, ""volume"": 65.1, ""relative_strength"": 85.1, ""mean_reversion"": 73.3, ""rsi"": 75.0, ""composite"": 78.5}",
79c6642f,2026-03-01,MTZ,BUY,134,298.02,39934.68,277.16,357.62,SIGNAL,BULL,73.9,"{""momentum"": 98.5, ""volatility"": 51.9, ""volume"": 65.5, ""relative_strength"": 100, ""mean_reversion"": 40.8, ""rsi"": 35.0, ""composite"": 73.9}",
75a7dc50,2026-03-01,SJM,BUY,344,115.95,39886.8,107.83,139.14,SIGNAL,BULL,78.8,"{""momentum"": 83.8, ""volatility"": 64.0, ""volume"": 98.4, ""relative_strength"": 77.4, ""mean_reversion"": 66.7, ""rsi"": 75.0, ""composite"": 78.8}",
2ef24aca,2026-03-01,ETR,BUY,373,107.11,39952.03,99.61,128.53,SIGNAL,BULL,67.8,"{""momentum"": 83.6, ""volatility"": 75.8, ""volume"": 45.0, ""relative_strength"": 79.3, ""mean_reversion"": 71.1, ""rsi"": 35.0, ""composite"": 67.8}",
ed8bdceb,2026-03-01,PKG,BUY,172,232.14,39928.08,215.89,278.57,SIGNAL,BULL,68.4,"{""momentum"": 76.8, ""volatility"": 64.6, ""volume"": 51.0, ""relative_strength"": 59.0, ""mean_reversion"": 94.4, ""rsi"": 70.0, ""composite"": 68.4}",
dc7f5415,2026-03-01,DTM,BUY,288,138.84,39985.92,129.12,166.61,SIGNAL,BULL,67.6,"{""momentum"": 81.2, ""volatility"": 78.5, ""volume"": 55.3, ""relative_strength"": 73.7, ""mean_reversion"": 74.5, ""rsi"": 35.0, ""composite"": 67.6}",
54c7259f,2026-03-01,AEP,BUY,120,133.82,16058.4,124.45,160.58,SIGNAL,BULL,67.4,"{""momentum"": 81.3, ""volatility"": 77.4, ""volume"": 47.4, ""relative_strength"": 79.7, ""mean_reversion"": 67.4, ""rsi"": 35.0, ""composite"": 67.4}",
c3e495d9,2026-03-01,EXC,BUY,800,49.47,39576.0,46.01,59.36,SIGNAL,BULL,64.2,"{""momentum"": 76.9, ""volatility"": 72.5, ""volume"": 46.1, ""relative_strength"": 74.4, ""mean_reversion"": 66.8, ""rsi"": 35.0, ""composite"": 64.2}",
b2b9b7dd,2026-03-02,EOG,BUY,471,127.17,59897.07,118.27,152.6,SIGNAL,BULL,75.3,"{""momentum"": 89.4, ""volatility"": 63.5, ""volume"": 54.8, ""relative_strength"": 94.1, ""mean_reversion"": 64.1, ""rsi"": 55.0, ""composite"": 75.3}",
2425fcd4,2026-03-02,GILD,BUY,125,149.57,18696.25,139.1,179.48,SIGNAL,BULL,72.1,"{""momentum"": 76.5, ""volatility"": 62.1, ""volume"": 46.3, ""relative_strength"": 62.5, ""mean_reversion"": 99.7, ""rsi"": 90.0, ""composite"": 72.1}",
