date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-25,4847.76,508328.2,513175.96,0.0,0.0,3413.98
2026-03-26,619.54,391369.55,391989.09,-121186.87,-23.62,627.33
2026-03-27,853.24,425715.1,426568.34,34579.25,8.82,356.77
2026-03-28,853.24,425715.1,426568.34,0.0,0.0,6368.85
2026-03-29,51085.24,375483.1,426568.34,0.0,0.0,18.22
2026-03-30,2.73,306512.39,306515.12,-120053.22,-28.14,6343.72
2026-03-31,2.73,366663.06,366665.79,60150.67,19.62,0.11
2026-04-01,31219.27,327757.28,358976.55,-7689.24,-2.1,6575.32
2026-04-02,37615.33,323839.08,361454.41,2477.86,0.69,6582.69
2026-04-03,37615.33,325662.41,363277.74,1823.33,0.5,6582.69
2026-04-06,34575.44,325937.92,360513.36,-2764.38,-0.76,6605.09
