ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
ADTN,2033,11.99,12.98,26392.0,2016.33,8.27,9.59,19.67,2026-03-30,206.96,0.79,13.14,
KALV,1517,18.15,20.3,30795.1,3261.55,11.85,14.52,31.63,2026-03-30,606.8,2.01,20.98,
ELVN,731,36.99,39.32,28742.92,1703.23,6.3,27.74,62.68,2026-03-30,358.19,1.26,39.6,
YPF,1106,44.1106,43.93,48586.58,-199.74,-0.41,37.48,64.62,2026-04-01,-1426.74,-2.85,45.97,Energy
TGS,1402,34.55,34.49,48361.99,-77.11,-0.16,28.46,51.92,2026-04-01,-1156.65,-2.34,35.91,Energy
KZR,5283,7.5638,7.38,38988.54,-971.02,-2.43,5.67,13.29,2026-04-01,-105.66,-0.27,7.56,Healthcare
EXAS,450,104.91,104.95,47225.93,16.43,0.03,82.0,155.0,2026-04-01,16.43,0.03,104.95,Healthcare
BTE,2700,4.42,4.39,11866.5,-67.5,-0.57,3.5,7.5,2026-04-02,391.5,3.41,4.42,Energy
SSSS,1479,11.0492,11.01,16276.4,-65.37,-0.4,8.82,17.74,2026-04-06,-65.37,-0.4,11.05,Financial Services
VIST,320,70.92,71.05,22736.0,41.6,0.18,56.75,110.0,2026-04-06,41.6,0.18,71.05,Unknown
ACTG,1192,4.98,5.0,5965.96,29.8,0.5,3.97,8.55,2026-04-06,29.8,0.5,5.0,Industrials
