transaction_id,buy_transaction_id,ticker,close_date,entry_price,exit_price,pnl,pnl_pct,exit_reason,holding_days,regime_at_entry,regime_at_exit,composite_score_at_entry,signal_rank_at_entry,summary,what_worked,what_failed,pattern_tags,recommendation
8c9d3242,04df250f,TXN,2026-03-25T12:55:31,197.75,197.82,17.5,0.04,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Profitable exit: TXN closed at +0.0%,"[""Trade was profitable: +0.0%""]",[],[],Continue current strategy - trade executed as planned
cc036511,f1e632a0,AAPL,2026-03-25T12:55:31,254.51,254.12,-76.05,-0.15,INTELLIGENCE,0,SIDEWAYS,SIDEWAYS,0.0,,Loss taken: AAPL closed at -0.2%,[],"[""Trade lost money: -0.2%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
ea1845a4,a1e5c61a,AAPL,2026-03-27T09:40:09,254.22,254.09,-50.83,-0.05,INTELLIGENCE,1,SIDEWAYS,BEAR,0.0,,Loss taken: AAPL closed at -0.1%,[],"[""Trade lost money: -0.1%"", ""Stopped out very quickly - entry timing may be off"", ""Regime changed from SIDEWAYS to BEAR during hold""]","[""quick_stop"", ""regime_change""]",Review entry timing - consider waiting for pullbacks before entry
7de2772d,bb049fbc,MSFT,2026-03-29T14:11:41,371.02,356.15,-5055.8,-4.01,INTELLIGENCE,4,SIDEWAYS,BEAR,0.0,,Loss taken: MSFT closed at -4.0%,[],"[""Trade lost money: -4.0%"", ""Regime changed from SIDEWAYS to BEAR during hold""]","[""regime_change""]",Monitor regime more closely - consider tighter stops during transitions
0a0c8f60,2e7f7c78,GOOG,2026-03-29T14:11:41,289.89,272.25,-7796.88,-6.09,INTELLIGENCE,4,SIDEWAYS,BEAR,0.0,,Loss taken: GOOG closed at -6.1%,[],"[""Trade lost money: -6.1%"", ""Regime changed from SIDEWAYS to BEAR during hold""]","[""regime_change""]",Monitor regime more closely - consider tighter stops during transitions
a9d8f1c7,7d88bb42,VCX,2026-03-30T13:14:44,130.0,102.1,-60738.3,-21.46,STOP_LOSS,0,BEAR,BEAR,0.0,,Stop loss: VCX lost 21.5% in 0 days,[],"[""Trade lost money: -21.5%"", ""Stop loss triggered - thesis invalidated"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
f3491551,92d5b972,AAPL,2026-03-30T20:15:16,247.25,245.2,-701.1,-0.83,INTELLIGENCE,1,BEAR,BEAR,0.0,,Loss taken: AAPL closed at -0.8%,[],"[""Trade lost money: -0.8%"", ""Stopped out very quickly - entry timing may be off""]","[""quick_stop""]",Review entry timing - consider waiting for pullbacks before entry
34943c38,c85a365f,MSFT,2026-03-30T20:20:01,358.42,358.42,0.0,0.0,INTELLIGENCE,0,BEAR,BEAR,0.0,,Profitable exit: MSFT closed at +0.0%,"[""Trade was profitable: +0.0%""]",[],[],Continue current strategy - trade executed as planned
c4359dd2,532f3ff2,GOOG,2026-03-30T20:20:01,271.73,271.73,0.0,0.0,INTELLIGENCE,0,BEAR,BEAR,0.0,,Profitable exit: GOOG closed at +0.0%,"[""Trade was profitable: +0.0%""]",[],[],Continue current strategy - trade executed as planned
bf8366b4,5dd6ea75,EXC,2026-03-30T23:29:04,48.83,48.83,0.0,0.0,INTELLIGENCE,0,BEAR,BEAR,0.0,,Profitable exit: EXC closed at +0.0%,"[""Trade was profitable: +0.0%""]",[],[],Continue current strategy - trade executed as planned
