date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-26,50312.62,49682.58,99995.2,0.0,0.0,6477.16
2026-03-27,75433.61,24094.83,99528.44,-466.76,-0.47,136.45
2026-03-28,75433.61,24094.83,99528.44,-0.0,-0.0,136.45
2026-03-29,75433.61,24094.83,99528.44,-0.0,-0.0,24.78
2026-03-30,37663.0,61774.27,99437.27,-91.17,-0.09,6343.72
2026-03-31,50000.5,49027.81,99028.31,-408.96,-0.41,6528.52
2026-04-01,50000.5,47671.04,97671.54,-1356.77,-1.37,6575.32
2026-04-02,49716.86,49561.47,99278.33,1606.79,1.65,6582.69
2026-04-03,49716.86,49561.47,99278.33,0.0,0.0,5.0
2026-04-06,53152.89,46381.49,99534.38,256.05,0.26,6605.07
