Ticker,Shares Bought,Buy Price
CRDO,1,117.96
OKLO,1,78.97
SMR,2,44.72
ITRI,1,124.88
UPST,1,69.24
GH,2,48.46
FOLD,18,6.78
ADMA,7,16.86
AXSM,1,103.59
ARWR,7,16.01
ADUS,1,110.77
CRSP,2,55.56
CRDO,1,119.78
OKLO,1,79.32
SMR,2,44.68
ITRI,1,124.68
UPST,1,69.53
GH,2,50.39
FOLD,18,6.79
ADMA,7,16.75
AXSM,1,104.32
ARWR,7,16.06
ADUS,1,109.1
CRSP,2,55.96
CRDO,1,119.78
OKLO,1,79.32
SMR,2,44.68
ITRI,1,124.68
UPST,1,69.53
GH,2,50.39
FOLD,18,6.79
ADMA,7,16.75
AXSM,1,104.32
ARWR,7,16.06
ADUS,1,109.1
CRSP,2,55.96
CRDO,1,119.78
OKLO,1,79.32
SMR,2,44.68
ITRI,1,124.68
UPST,1,69.53
GH,2,50.39
FOLD,18,6.79
ADMA,7,16.75
AXSM,1,104.32
ARWR,7,16.06
ADUS,1,109.1
CRSP,2,55.96
CRDO,1,119.78
OKLO,1,79.32
SMR,2,44.68
ITRI,1,124.68
UPST,1,69.53
GH,2,50.39
FOLD,18,6.79
ADMA,7,16.75
AXSM,1,104.32
ARWR,7,16.06
ADUS,1,109.1
CRSP,2,55.96
